id;Length;l_amps;n_amps;OSNRCONSTRAINT;OSNRPOGGIO;DELTA
97;3840;48;3;17.96;-60.79;78.75
98;3920;49;3;17.882;-60.911;78.793
99;4000;50;3;17.805;-61.03;78.83500000000001
100;240;3;4;24.489;24.489;0.0
101;320;4;4;24.147;-39.544;63.690999999999995
102;400;5;4;23.83;-42.554;66.384
103;480;6;4;23.535;-44.315;67.85
104;560;7;4;23.259;-46.076;69.33500000000001
105;640;8;4;22.999;-47.325;70.324
106;720;9;4;22.753;-48.294;71.047
107;800;10;4;22.521;-49.244;71.765
108;880;11;4;22.301;-50.023;72.324
109;960;12;4;22.091;-50.683;72.774
110;1040;13;4;21.891;-51.329;73.22
111;1120;14;4;21.7;-51.89;73.59
112;1200;15;4;21.517;-52.388;73.905
113;1280;16;4;21.341;-52.875;74.21600000000001
114;1360;17;4;21.172;-53.312;74.484
115;1440;18;4;21.009;-53.71;74.719
116;1520;19;4;20.852;-54.1;74.952
117;1600;20;4;20.701;-54.457;75.158
118;1680;21;4;20.555;-54.788;75.34299999999999
119;1760;22;4;20.414;-55.112;75.52600000000001
120;1840;23;4;20.277;-55.413;75.69
121;1920;24;4;20.144;-55.696;75.84
122;2000;25;4;20.015;-55.973;75.988
123;2080;26;4;19.89;-56.233;76.12299999999999
124;2160;27;4;19.768;-56.479;76.247
125;2240;28;4;19.65;-56.721;76.371
126;2320;29;4;19.535;-56.95;76.485
127;2400;30;4;19.423;-57.168;76.591
128;2480;31;4;19.313;-57.382;76.695
129;2560;32;4;19.207;-57.587;76.79400000000001
130;2640;33;4;19.102;-57.782;76.884
131;2720;34;4;19.001;-57.974;76.975
132;2800;35;4;18.901;-58.159;77.06
133;2880;36;4;18.804;-58.335;77.139
134;2960;37;4;18.709;-58.51;77.219
135;3040;38;4;18.616;-58.678;77.294
136;3120;39;4;18.525;-58.839;77.364
137;3200;40;4;18.436;-58.999;77.435
138;3280;41;4;18.349;-59.152;77.501
139;3360;42;4;18.263;-59.301;77.56400000000001
140;3440;43;4;18.179;-59.448;77.627
141;3520;44;4;18.097;-59.59;77.68700000000001
142;3600;45;4;18.016;-59.727;77.743
143;3680;46;4;17.936;-59.863;77.799
144;3760;47;4;17.858;-59.995;77.853
145;3840;48;4;17.782;-60.123;77.905
146;3920;49;4;17.707;-60.25;77.957
147;4000;50;4;17.633;-60.373;78.006
148;320;4;5;23.449;23.449;0.0
149;400;5;5;23.178;-39.544;62.721999999999994
150;480;6;5;22.923;-42.554;65.477
151;560;7;5;22.682;-44.315;66.997
152;640;8;5;22.453;-45.564;68.017
153;720;9;5;22.236;-46.947;69.183
154;800;10;5;22.029;-47.995;70.024
155;880;11;5;21.832;-48.838;70.67
156;960;12;5;21.643;-49.544;71.187
157;1040;13;5;21.463;-50.275;71.738
158;1120;14;5;21.289;-50.9;72.189
159;1200;15;5;21.122;-51.447;72.569
160;1280;16;5;20.961;-51.932;72.893
161;1360;17;5;20.806;-52.425;73.231
162;1440;18;5;20.656;-52.868;73.524
163;1520;19;5;20.512;-53.27;73.78200000000001
164;1600;20;5;20.372;-53.637;74.009
165;1680;21;5;20.236;-54.007;74.243
166;1760;22;5;20.104;-54.348;74.452
167;1840;23;5;19.977;-54.665;74.642
168;1920;24;5;19.853;-54.959;74.81200000000001
169;2000;25;5;19.732;-55.255;74.987
170;2080;26;5;19.615;-55.532;75.14699999999999
171;2160;27;5;19.501;-55.792;75.293
172;2240;28;5;19.389;-56.037;75.426
173;2320;29;5;19.281;-56.282;75.56299999999999
174;2400;30;5;19.175;-56.515;75.69
175;2480;31;5;19.071;-56.735;75.806
176;2560;32;5;18.97;-56.945;75.91499999999999
177;2640;33;5;18.872;-57.155;76.027
178;2720;34;5;18.775;-57.354;76.12899999999999
179;2800;35;5;18.681;-57.546;76.227
180;2880;36;5;18.588;-57.729;76.31700000000001
181;2960;37;5;18.498;-57.911;76.409
182;3040;38;5;18.409;-58.087;76.49600000000001
183;3120;39;5;18.323;-58.255;76.578
184;3200;40;5;18.237;-58.417;76.654
185;3280;41;5;18.154;-58.579;76.733
186;3360;42;5;18.072;-58.735;76.807
187;3440;43;5;17.992;-58.886;76.878
188;3520;44;5;17.913;-59.031;76.944
189;3600;45;5;17.835;-59.176;77.011
190;3680;46;5;17.759;-59.317;77.076
191;3760;47;5;17.684;-59.453;77.137
192;3840;48;5;17.61;-59.585;77.195
193;3920;49;5;17.538;-59.716;77.254
194;4000;50;5;17.467;-59.844;77.311
195;400;5;6;22.611;22.611;0.0
196;480;6;6;22.386;-39.544;61.92999999999999
197;560;7;6;22.173;-42.554;64.727
198;640;8;6;21.969;-44.315;66.28399999999999
199;720;9;6;21.774;-45.564;67.338
200;800;10;6;21.588;-46.533;68.12100000000001
201;880;11;6;21.409;-47.673;69.082
202;960;12;6;21.238;-48.574;69.812
203;1040;13;6;21.073;-49.321;70.394
204;1120;14;6;20.914;-49.958;70.872
205;1200;15;6;20.76;-50.513;71.273
206;1280;16;6;20.612;-51.107;71.719
207;1360;17;6;20.469;-51.63;72.099
208;1440;18;6;20.33;-52.096;72.42599999999999
209;1520;19;6;20.196;-52.518;72.714
210;1600;20;6;20.065;-52.902;72.967
211;1680;21;6;19.939;-53.3;73.239
212;1760;22;6;19.816;-53.665;73.481
213;1840;23;6;19.696;-54.002;73.69800000000001
214;1920;24;6;19.58;-54.315;73.895
215;2000;25;6;19.466;-54.606;74.072
216;2080;26;6;19.356;-54.905;74.261
217;2160;27;6;19.248;-55.184;74.432
218;2240;28;6;19.143;-55.447;74.59
219;2320;29;6;19.041;-55.694;74.735
220;2400;30;6;18.94;-55.928;74.868
221;2480;31;6;18.842;-56.166;75.008
222;2560;32;6;18.746;-56.392;75.138
223;2640;33;6;18.653;-56.607;75.25999999999999
224;2720;34;6;18.561;-56.811;75.372
225;2800;35;6;18.471;-57.006;75.477
226;2880;36;6;18.383;-57.203;75.586
227;2960;37;6;18.297;-57.392;75.68900000000001
228;3040;38;6;18.212;-57.573;75.785
229;3120;39;6;18.129;-57.747;75.876
230;3200;40;6;18.048;-57.914;75.962
231;3280;41;6;17.968;-58.083;76.051
232;3360;42;6;17.889;-58.245;76.134
233;3440;43;6;17.812;-58.401;76.21300000000001
234;3520;44;6;17.736;-58.552;76.288
235;3600;45;6;17.662;-58.698;76.36
236;3680;46;6;17.588;-58.845;76.43299999999999
237;3760;47;6;17.516;-58.987;76.503
238;3840;48;6;17.446;-59.124;76.57000000000001
239;3920;49;6;17.376;-59.257;76.633
240;4000;50;6;17.307;-59.387;76.694
241;480;6;7;21.909;21.909;0.0
242;560;7;7;21.717;-39.544;61.260999999999996
243;640;8;7;21.533;-42.554;64.087
244;720;9;7;21.357;-44.315;65.672
245;800;10;7;21.187;-45.564;66.751
246;880;11;7;21.024;-46.533;67.557
247;960;12;7;20.867;-47.325;68.19200000000001
248;1040;13;7;20.715;-48.294;69.009
249;1120;14;7;20.568;-49.086;69.654
250;1200;15;7;20.426;-49.755;70.181
251;1280;16;7;20.289;-50.335;70.624
252;1360;17;7;20.156;-50.847;71.003
253;1440;18;7;20.027;-51.305;71.332
254;1520;19;7;19.901;-51.805;71.706
255;1600;20;7;19.779;-52.254;72.033
256;1680;21;7;19.661;-52.661;72.322
257;1760;22;7;19.545;-53.033;72.578
258;1840;23;7;19.433;-53.376;72.809
259;1920;24;7;19.323;-53.693;73.01599999999999
260;2000;25;7;19.216;-54.028;73.244
261;2080;26;7;19.112;-54.339;73.451
262;2160;27;7;19.01;-54.629;73.639
263;2240;28;7;18.91;-54.901;73.811
264;2320;29;7;18.813;-55.157;73.97
265;2400;30;7;18.718;-55.398;74.116
266;2480;31;7;18.625;-55.648;74.273
267;2560;32;7;18.533;-55.885;74.418
268;2640;33;7;18.444;-56.109;74.553
269;2720;34;7;18.357;-56.323;74.68
270;2800;35;7;18.271;-56.526;74.797
271;2880;36;7;18.187;-56.72;74.907
272;2960;37;7;18.104;-56.919;75.023
273;3040;38;7;18.023;-57.11;75.133
274;3120;39;7;17.944;-57.292;75.236
275;3200;40;7;17.866;-57.468;75.334
276;3280;41;7;17.789;-57.636;75.42500000000001
277;3360;42;7;17.713;-57.798;75.511
278;3440;43;7;17.639;-57.963;75.602
279;3520;44;7;17.567;-58.122;75.689
280;3600;45;7;17.495;-58.276;75.771
281;3680;46;7;17.424;-58.424;75.848
282;3760;47;7;17.355;-58.567;75.922
283;3840;48;7;17.287;-58.706;75.993
284;3920;49;7;17.22;-58.847;76.06700000000001
285;4000;50;7;17.153;-58.983;76.136
286;560;7;8;21.305;21.305;0.0
287;640;8;8;21.137;-39.544;60.681
288;720;9;8;20.976;-42.554;63.53
289;800;10;8;20.82;-44.315;65.13499999999999
290;880;11;8;20.67;-45.564;66.23400000000001
291;960;12;8;20.525;-46.533;67.05799999999999
292;1040;13;8;20.384;-47.325;67.709
293;1120;14;8;20.248;-47.995;68.243
294;1200;15;8;20.116;-48.838;68.95400000000001
295;1280;16;8;19.988;-49.544;69.532
296;1360;17;8;19.864;-50.151;70.015
297;1440;18;8;19.743;-50.683;70.426
298;1520;19;8;19.625;-51.157;70.782
299;1600;20;8;19.511;-51.585;71.096
300;1680;21;8;19.399;-51.974;71.37299999999999
301;1760;22;8;19.29;-52.407;71.697
302;1840;23;8;19.184;-52.8;71.984
303;1920;24;8;19.081;-53.161;72.242
304;2000;25;8;18.98;-53.494;72.474
305;2080;26;8;18.881;-53.803;72.684
306;2160;27;8;18.784;-54.092;72.876
307;2240;28;8;18.689;-54.363;73.05199999999999
308;2320;29;8;18.597;-54.651;73.248
309;2400;30;8;18.506;-54.922;73.428
310;2480;31;8;18.417;-55.176;73.593
311;2560;32;8;18.33;-55.417;73.747
312;2640;33;8;18.245;-55.645;73.89
313;2720;34;8;18.162;-55.861;74.023
314;2800;35;8;18.079;-56.068;74.14699999999999
315;2880;36;8;17.999;-56.283;74.282
316;2960;37;8;17.92;-56.488;74.408
317;3040;38;8;17.842;-56.684;74.526
318;3120;39;8;17.766;-56.872;74.638
319;3200;40;8;17.691;-57.051;74.742
320;3280;41;8;17.617;-57.224;74.841
321;3360;42;8;17.545;-57.39;74.935
322;3440;43;8;17.473;-57.561;75.03399999999999
323;3520;44;8;17.403;-57.726;75.12899999999999
324;3600;45;8;17.334;-57.885;75.219
325;3680;46;8;17.266;-58.038;75.304
326;3760;47;8;17.199;-58.186;75.385
327;3840;48;8;17.134;-58.329;75.463
328;3920;49;8;17.069;-58.467;75.536
329;4000;50;8;17.005;-58.609;75.614
330;640;8;9;20.774;20.774;0.0
331;720;9;9;20.625;-39.544;60.169
332;800;10;9;20.482;-42.554;63.036
333;880;11;9;20.343;-44.315;64.658
334;960;12;9;20.208;-45.564;65.77199999999999
335;1040;13;9;20.077;-46.533;66.61
336;1120;14;9;19.95;-47.325;67.275
337;1200;15;9;19.827;-47.995;67.822
338;1280;16;9;19.707;-48.574;68.281
339;1360;17;9;19.59;-49.321;68.911
340;1440;18;9;19.477;-49.958;69.435
341;1520;19;9;19.366;-50.513;69.87899999999999
342;1600;20;9;19.258;-51.005;70.263
343;1680;21;9;19.153;-51.447;70.6
344;1760;22;9;19.05;-51.848;70.898
345;1840;23;9;18.949;-52.215;71.164
346;1920;24;9;18.851;-52.554;71.405
347;2000;25;9;18.755;-52.935;71.69
348;2080;26;9;18.661;-53.285;71.946
349;2160;27;9;18.569;-53.609;72.178
350;2240;28;9;18.479;-53.911;72.39
351;2320;29;9;18.391;-54.192;72.583
352;2400;30;9;18.304;-54.457;72.761
353;2480;31;9;18.22;-54.707;72.92699999999999
354;2560;32;9;18.137;-54.943;73.08
355;2640;33;9;18.055;-55.196;73.251
356;2720;34;9;17.975;-55.436;73.411
357;2800;35;9;17.896;-55.663;73.559
358;2880;36;9;17.819;-55.878;73.697
359;2960;37;9;17.743;-56.084;73.827
360;3040;38;9;17.668;-56.28;73.94800000000001
361;3120;39;9;17.595;-56.468;74.063
362;3200;40;9;17.523;-56.648;74.171
363;3280;41;9;17.452;-56.837;74.289
364;3360;42;9;17.382;-57.018;74.4
365;3440;43;9;17.314;-57.192;74.506
366;3520;44;9;17.246;-57.359;74.605
367;3600;45;9;17.179;-57.52;74.699
368;3680;46;9;17.114;-57.675;74.789
369;3760;47;9;17.049;-57.825;74.874
370;3840;48;9;16.986;-57.97;74.956
371;3920;49;9;16.923;-58.12;75.04299999999999
372;4000;50;9;16.861;-58.265;75.126
373;720;9;10;20.301;20.301;0.0
374;800;10;10;20.168;-39.544;59.711999999999996
375;880;11;10;20.038;-42.554;62.592
376;960;12;10;19.913;-44.315;64.228
377;1040;13;10;19.79;-45.564;65.354
378;1120;14;10;19.671;-46.533;66.20400000000001
379;1200;15;10;19.556;-47.325;66.881
380;1280;16;10;19.443;-47.995;67.438
381;1360;17;10;19.333;-48.574;67.907
382;1440;18;10;19.226;-49.086;68.312
383;1520;19;10;19.121;-49.755;68.876
384;1600;20;10;19.019;-50.335;69.354
385;1680;21;10;18.919;-50.847;69.766
386;1760;22;10;18.822;-51.305;70.127
387;1840;23;10;18.726;-51.718;70.444
388;1920;24;10;18.633;-52.096;70.729
389;2000;25;10;18.542;-52.444;70.986
390;2080;26;10;18.452;-52.766;71.218
391;2160;27;10;18.365;-53.065;71.42999999999999
392;2240;28;10;18.279;-53.406;71.685
393;2320;29;10;18.194;-53.721;71.91499999999999
394;2400;30;10;18.112;-54.015;72.127
395;2480;31;10;18.031;-54.291;72.322
396;2560;32;10;17.951;-54.55;72.501
397;2640;33;10;17.873;-54.794;72.667
398;2720;34;10;17.796;-55.025;72.821
399;2800;35;10;17.72;-55.245;72.965
400;2880;36;10;17.646;-55.454;73.1
401;2960;37;10;17.573;-55.68;73.253
402;3040;38;10;17.501;-55.895;73.396
403;3120;39;10;17.431;-56.1;73.531
404;3200;40;10;17.361;-56.295;73.656
405;3280;41;10;17.293;-56.482;73.775
406;3360;42;10;17.226;-56.662;73.888
407;3440;43;10;17.159;-56.834;73.993
408;3520;44;10;17.094;-57.0;74.094
409;3600;45;10;17.03;-57.159;74.189
410;3680;46;10;16.966;-57.328;74.29400000000001
411;3760;47;10;16.904;-57.49;74.394
412;3840;48;10;16.842;-57.646;74.488
413;3920;49;10;16.782;-57.797;74.579
414;4000;50;10;16.722;-57.943;74.66499999999999
415;800;10;11;19.875;19.875;0.0
416;880;11;11;19.754;-39.544;59.298
417;960;12;11;19.636;-42.554;62.19
418;1040;13;11;19.521;-44.315;63.836
419;1120;14;11;19.409;-45.564;64.973
420;1200;15;11;19.3;-46.533;65.833
421;1280;16;11;19.194;-47.325;66.519
422;1360;17;11;19.09;-47.995;67.085
423;1440;18;11;18.989;-48.574;67.563
424;1520;19;11;18.89;-49.086;67.976
425;1600;20;11;18.793;-49.544;68.33699999999999
426;1680;21;11;18.698;-50.151;68.849
427;1760;22;11;18.605;-50.683;69.288
428;1840;23;11;18.514;-51.157;69.67099999999999
429;1920;24;11;18.426;-51.585;70.011
430;2000;25;11;18.338;-51.974;70.312
431;2080;26;11;18.253;-52.331;70.584
432;2160;27;11;18.169;-52.661;70.83
433;2240;28;11;18.087;-52.968;71.055
434;2320;29;11;18.006;-53.254;71.25999999999999
435;2400;30;11;17.927;-53.523;71.45
436;2480;31;11;17.849;-53.83;71.679
437;2560;32;11;17.773;-54.117;71.89
438;2640;33;11;17.698;-54.387;72.08500000000001
439;2720;34;11;17.624;-54.64;72.264
440;2800;35;11;17.551;-54.88;72.431
441;2880;36;11;17.48;-55.107;72.587
442;2960;37;11;17.41;-55.322;72.732
443;3040;38;11;17.341;-55.528;72.869
444;3120;39;11;17.273;-55.724;72.997
445;3200;40;11;17.206;-55.912;73.118
446;3280;41;11;17.14;-56.116;73.256
447;3360;42;11;17.075;-56.311;73.386
448;3440;43;11;17.011;-56.497;73.508
449;3520;44;11;16.947;-56.676;73.623
450;3600;45;11;16.885;-56.847;73.732
451;3680;46;11;16.824;-57.013;73.837
452;3760;47;11;16.763;-57.172;73.935
453;3840;48;11;16.704;-57.325;74.029
454;3920;49;11;16.645;-57.473;74.118
455;4000;50;11;16.587;-57.617;74.204
456;880;11;12;19.487;19.487;0.0
457;960;12;12;19.376;-39.544;58.92
458;1040;13;12;19.268;-42.554;61.822
459;1120;14;12;19.162;-44.315;63.477
460;1200;15;12;19.059;-45.564;64.623
461;1280;16;12;18.958;-46.533;65.491
462;1360;17;12;18.86;-47.325;66.185
463;1440;18;12;18.764;-47.995;66.759
464;1520;19;12;18.67;-48.574;67.244
465;1600;20;12;18.578;-49.086;67.664
466;1680;21;12;18.487;-49.544;68.03099999999999
467;1760;22;12;18.399;-49.958;68.357
468;1840;23;12;18.312;-50.513;68.825
469;1920;24;12;18.227;-51.005;69.232
470;2000;25;12;18.144;-51.447;69.59100000000001
471;2080;26;12;18.062;-51.848;69.91
472;2160;27;12;17.982;-52.215;70.197
473;2240;28;12;17.903;-52.554;70.457
474;2320;29;12;17.826;-52.868;70.694
475;2400;30;12;17.75;-53.161;70.911
476;2480;31;12;17.675;-53.435;71.11
477;2560;32;12;17.602;-53.693;71.295
478;2640;33;12;17.53;-53.937;71.467
479;2720;34;12;17.459;-54.217;71.676
480;2800;35;12;17.389;-54.481;71.87
481;2880;36;12;17.32;-54.729;72.049
482;2960;37;12;17.252;-54.964;72.216
483;3040;38;12;17.185;-55.186;72.371
484;3120;39;12;17.12;-55.398;72.518
485;3200;40;12;17.055;-55.6;72.655
486;3280;41;12;16.991;-55.793;72.78399999999999
487;3360;42;12;16.929;-55.978;72.907
488;3440;43;12;16.867;-56.155;73.022
489;3520;44;12;16.806;-56.326;73.132
490;3600;45;12;16.745;-56.512;73.257
491;3680;46;12;16.686;-56.69;73.376
492;3760;47;12;16.627;-56.861;73.488
493;3840;48;12;16.57;-57.025;73.595
494;3920;49;12;16.512;-57.184;73.696
495;4000;50;12;16.456;-57.337;73.793
496;960;12;13;19.131;19.131;0.0
497;1040;13;13;19.028;-39.544;58.571999999999996
498;1120;14;13;18.928;-42.554;61.482
499;1200;15;13;18.831;-44.315;63.146
500;1280;16;13;18.735;-45.564;64.299
501;1360;17;13;18.642;-46.533;65.175
502;1440;18;13;18.55;-47.325;65.875
503;1520;19;13;18.46;-47.995;66.455
504;1600;20;13;18.373;-48.574;66.947
505;1680;21;13;18.286;-49.086;67.372
506;1760;22;13;18.202;-49.544;67.746
507;1840;23;13;18.119;-49.958;68.077
508;1920;24;13;18.038;-50.335;68.373
509;2000;25;13;17.958;-50.847;68.805
510;2080;26;13;17.88;-51.305;69.185
511;2160;27;13;17.803;-51.718;69.521
512;2240;28;13;17.727;-52.096;69.823
513;2320;29;13;17.653;-52.444;70.09700000000001
514;2400;30;13;17.58;-52.766;70.346
515;2480;31;13;17.508;-53.065;70.573
516;2560;32;13;17.437;-53.346;70.783
517;2640;33;13;17.368;-53.609;70.977
518;2720;34;13;17.299;-53.857;71.156
519;2800;35;13;17.232;-54.092;71.324
520;2880;36;13;17.165;-54.315;71.47999999999999
521;2960;37;13;17.1;-54.572;71.672
522;3040;38;13;17.036;-54.816;71.852
523;3120;39;13;16.972;-55.046;72.018
524;3200;40;13;16.91;-55.265;72.175
525;3280;41;13;16.848;-55.473;72.321
526;3360;42;13;16.787;-55.671;72.458
527;3440;43;13;16.727;-55.861;72.588
528;3520;44;13;16.668;-56.043;72.711
529;3600;45;13;16.61;-56.218;72.828
530;3680;46;13;16.552;-56.386;72.938
531;3760;47;13;16.495;-56.548;73.043
532;3840;48;13;16.439;-56.704;73.143
533;3920;49;13;16.384;-56.874;73.25800000000001
534;4000;50;13;16.329;-57.038;73.36699999999999
535;1040;13;14;18.802;18.802;0.0
536;1120;14;14;18.707;-39.544;58.251
537;1200;15;14;18.614;-42.554;61.168000000000006
538;1280;16;14;18.523;-44.315;62.837999999999994
539;1360;17;14;18.434;-45.564;63.998000000000005
540;1440;18;14;18.346;-46.533;64.879
541;1520;19;14;18.261;-47.325;65.586
542;1600;20;14;18.177;-47.995;66.172
543;1680;21;14;18.094;-48.574;66.668
544;1760;22;14;18.014;-49.086;67.1
545;1840;23;14;17.934;-49.544;67.478
546;1920;24;14;17.856;-49.958;67.814
547;2000;25;14;17.78;-50.335;68.11500000000001
548;2080;26;14;17.705;-50.683;68.388
549;2160;27;14;17.631;-51.157;68.788
550;2240;28;14;17.558;-51.585;69.143
551;2320;29;14;17.486;-51.974;69.46
552;2400;30;14;17.416;-52.331;69.747
553;2480;31;14;17.347;-52.661;70.00800000000001
554;2560;32;14;17.279;-52.968;70.247
555;2640;33;14;17.212;-53.254;70.466
556;2720;34;14;17.146;-53.523;70.66900000000001
557;2800;35;14;17.08;-53.776;70.856
558;2880;36;14;17.016;-54.015;71.031
559;2960;37;14;16.953;-54.242;71.195
560;3040;38;14;16.891;-54.457;71.348
561;3120;39;14;16.83;-54.662;71.49199999999999
562;3200;40;14;16.769;-54.901;71.67
563;3280;41;14;16.709;-55.127;71.836
564;3360;42;14;16.65;-55.341;71.991
565;3440;43;14;16.592;-55.546;72.138
566;3520;44;14;16.535;-55.741;72.276
567;3600;45;14;16.478;-55.928;72.406
568;3680;46;14;16.422;-56.108;72.53
569;3760;47;14;16.367;-56.28;72.647
570;3840;48;14;16.313;-56.446;72.759
571;3920;49;14;16.259;-56.605;72.864
572;4000;50;14;16.206;-56.759;72.965
573;1120;14;15;18.496;18.496;0.0
574;1200;15;15;18.407;-39.544;57.95099999999999
575;1280;16;15;18.32;-42.554;60.874
576;1360;17;15;18.235;-44.315;62.55
577;1440;18;15;18.152;-45.564;63.716
578;1520;19;15;18.07;-46.533;64.60300000000001
579;1600;20;15;17.989;-47.325;65.31400000000001
580;1680;21;15;17.91;-47.995;65.905
581;1760;22;15;17.833;-48.574;66.407
582;1840;23;15;17.757;-49.086;66.843
583;1920;24;15;17.682;-49.544;67.226
584;2000;25;15;17.608;-49.958;67.566
585;2080;26;15;17.536;-50.335;67.87100000000001
586;2160;27;15;17.465;-50.683;68.148
587;2240;28;15;17.395;-51.005;68.4
588;2320;29;15;17.326;-51.447;68.773
589;2400;30;15;17.258;-51.848;69.106
590;2480;31;15;17.191;-52.215;69.406
591;2560;32;15;17.126;-52.554;69.68
592;2640;33;15;17.061;-52.868;69.929
593;2720;34;15;16.997;-53.161;70.158
594;2800;35;15;16.934;-53.435;70.369
595;2880;36;15;16.872;-53.693;70.565
596;2960;37;15;16.811;-53.937;70.74799999999999
597;3040;38;15;16.751;-54.168;70.919
598;3120;39;15;16.691;-54.387;71.078
599;3200;40;15;16.633;-54.595;71.228
600;3280;41;15;16.575;-54.794;71.369
601;3360;42;15;16.518;-54.984;71.50200000000001
602;3440;43;15;16.461;-55.206;71.667
603;3520;44;15;16.406;-55.417;71.82300000000001
604;3600;45;15;16.351;-55.618;71.969
605;3680;46;15;16.296;-55.81;72.106
606;3760;47;15;16.243;-55.995;72.238
607;3840;48;15;16.19;-56.171;72.361
608;3920;49;15;16.138;-56.341;72.479
609;4000;50;15;16.086;-56.504;72.59
610;1200;15;16;18.21;18.21;0.0
611;1280;16;16;18.127;-39.544;57.67099999999999
612;1360;17;16;18.045;-42.554;60.599000000000004
613;1440;18;16;17.965;-44.315;62.28
614;1520;19;16;17.887;-45.564;63.451
615;1600;20;16;17.81;-46.533;64.343
616;1680;21;16;17.734;-47.325;65.059
617;1760;22;16;17.66;-47.995;65.655
618;1840;23;16;17.586;-48.574;66.16
619;1920;24;16;17.514;-49.086;66.6
