index;origin;destination;slots;max_length;osnr_limit
213;3;9;3;6000;0
214;3;10;3;6000;0
215;3;11;3;6000;0
216;3;12;3;6000;0
217;3;13;3;6000;0
218;3;14;3;6000;0
219;4;5;5;3000;0
220;4;6;5;3000;0
221;4;7;5;3000;0
222;4;8;5;3000;0
223;4;9;3;6000;0
224;4;10;3;6000;0
225;4;11;3;6000;0
226;4;12;3;6000;0
227;4;13;3;6000;0
228;4;14;3;6000;0
229;5;6;5;3000;0
230;5;7;5;3000;0
231;5;8;3;6000;0
232;5;9;5;3000;0
233;5;10;5;3000;0
234;5;11;3;6000;0
235;5;12;3;6000;0
236;5;13;3;6000;0
237;5;14;3;6000;0
238;6;7;5;3000;0
239;6;8;3;6000;0
240;6;9;3;6000;0
241;6;10;5;3000;0
242;6;11;3;6000;0
243;6;12;5;3000;0
244;6;13;5;3000;0
245;6;14;5;3000;0
246;7;8;5;3000;0
247;7;9;5;3000;0
248;7;10;5;3000;0
249;7;11;3;6000;0
250;7;12;5;3000;0
251;7;13;3;6000;0
252;7;14;5;3000;0
253;8;9;3;6000;0
254;8;10;3;6000;0
255;8;11;5;3000;0
256;8;12;5;3000;0
257;8;13;5;3000;0
258;8;14;5;3000;0
259;9;10;5;3000;0
260;9;11;3;6000;0
261;9;12;3;6000;0
262;9;13;5;3000;0
263;9;14;6;600;0
264;10;11;3;6000;0
265;10;12;5;3000;0
266;10;13;3;6000;0
267;10;14;5;3000;0
268;11;12;5;3000;0
269;11;13;5;3000;0
270;11;14;3;3000;0
271;12;13;6;600;0
272;12;14;6;3000;0
273;13;14;6;600;0
274;1;2;5;3000;0
275;1;3;5;3000;0
276;1;4;5;3000;0
277;1;5;3;6000;0
278;1;6;3;6000;0
279;1;7;3;6000;0
280;1;8;3;6000;0
281;1;9;3;6000;0
282;1;10;3;6000;0
283;1;11;3;6000;0
284;1;12;3;6000;0
285;1;13;3;6000;0
286;1;14;3;6000;0
287;2;3;5;3000;0
288;2;4;5;3000;0
289;2;5;5;3000;0
290;2;6;3;6000;0
291;2;7;3;6000;0
292;2;8;3;6000;0
293;2;9;3;6000;0
294;2;10;3;6000;0
295;2;11;3;6000;0
296;2;12;3;6000;0
297;2;13;3;6000;0
298;2;14;3;6000;0
299;3;4;5;3000;0
300;3;5;5;3000;0
301;3;6;5;3000;0
302;3;7;3;6000;0
303;3;8;3;6000;0
304;3;9;3;6000;0
305;3;10;3;6000;0
306;3;11;3;6000;0
307;3;12;3;6000;0
308;3;13;3;6000;0
309;3;14;3;6000;0
310;4;5;5;3000;0
311;4;6;5;3000;0
312;4;7;5;3000;0
313;4;8;5;3000;0
314;4;9;3;6000;0
315;4;10;3;6000;0
316;4;11;3;6000;0
317;4;12;3;6000;0
318;4;13;3;6000;0
319;4;14;3;6000;0
320;5;6;5;3000;0
321;5;7;5;3000;0
322;5;8;3;6000;0
323;5;9;5;3000;0
324;5;10;5;3000;0
325;5;11;3;6000;0
326;5;12;3;6000;0
327;5;13;3;6000;0
328;5;14;3;6000;0
329;6;7;5;3000;0
330;6;8;3;6000;0
331;6;9;3;6000;0
332;6;10;5;3000;0
333;6;11;3;6000;0
334;6;12;5;3000;0
335;6;13;5;3000;0
336;6;14;5;3000;0
337;7;8;5;3000;0
338;7;9;5;3000;0
339;7;10;5;3000;0
340;7;11;3;6000;0
341;7;12;5;3000;0
342;7;13;3;6000;0
343;7;14;5;3000;0
344;8;9;3;6000;0
345;8;10;3;6000;0
346;8;11;5;3000;0
347;8;12;5;3000;0
348;8;13;5;3000;0
349;8;14;5;3000;0
350;9;10;5;3000;0
351;9;11;3;6000;0
352;9;12;3;6000;0
353;9;13;5;3000;0
354;9;14;6;600;0
355;10;11;3;6000;0
356;10;12;5;3000;0
357;10;13;3;6000;0
358;10;14;5;3000;0
359;11;12;5;3000;0
360;11;13;5;3000;0
361;11;14;3;3000;0
362;12;13;6;600;0
363;12;14;6;3000;0
364;13;14;6;600;0
365;1;2;5;3000;0
366;1;3;5;3000;0
367;1;4;5;3000;0
368;1;5;3;6000;0
369;1;6;3;6000;0
370;1;7;3;6000;0
371;1;8;3;6000;0
372;1;9;3;6000;0
373;1;10;3;6000;0
374;1;11;3;6000;0
375;1;12;3;6000;0
376;1;13;3;6000;0
377;1;14;3;6000;0
378;2;3;5;3000;0
379;2;4;5;3000;0
380;2;5;5;3000;0
381;2;6;3;6000;0
382;2;7;3;6000;0
383;2;8;3;6000;0
384;2;9;3;6000;0
385;2;10;3;6000;0
386;2;11;3;6000;0
387;2;12;3;6000;0
388;2;13;3;6000;0
389;2;14;3;6000;0
390;3;4;5;3000;0
391;3;5;5;3000;0
392;3;6;5;3000;0
393;3;7;3;6000;0
394;3;8;3;6000;0
395;3;9;3;6000;0
396;3;10;3;6000;0
397;3;11;3;6000;0
398;3;12;3;6000;0
399;3;13;3;6000;0
400;3;14;3;6000;0
401;4;5;5;3000;0
402;4;6;5;3000;0
403;4;7;5;3000;0
404;4;8;5;3000;0
405;4;9;3;6000;0
406;4;10;3;6000;0
407;4;11;3;6000;0
408;4;12;3;6000;0
409;4;13;3;6000;0
410;4;14;3;6000;0
411;5;6;5;3000;0
412;5;7;5;3000;0
413;5;8;3;6000;0
414;5;9;5;3000;0
415;5;10;5;3000;0
416;5;11;3;6000;0
417;5;12;3;6000;0
418;5;13;3;6000;0
419;5;14;3;6000;0
420;6;7;5;3000;0
421;6;8;3;6000;0
422;6;9;3;6000;0
423;6;10;5;3000;0
424;6;11;3;6000;0
425;6;12;5;3000;0
426;6;13;5;3000;0
427;6;14;5;3000;0
428;7;8;5;3000;0
429;7;9;5;3000;0
430;7;10;5;3000;0
431;7;11;3;6000;0
432;7;12;5;3000;0
433;7;13;3;6000;0
434;7;14;5;3000;0
435;8;9;3;6000;0
436;8;10;3;6000;0
437;8;11;5;3000;0
438;8;12;5;3000;0
439;8;13;5;3000;0
440;8;14;5;3000;0
441;9;10;5;3000;0
442;9;11;3;6000;0
443;9;12;3;6000;0
444;9;13;5;3000;0
445;9;14;6;600;0
446;10;11;3;6000;0
447;10;12;5;3000;0
448;10;13;3;6000;0
449;10;14;5;3000;0
450;11;12;5;3000;0
451;11;13;5;3000;0
452;11;14;3;3000;0
453;12;13;6;600;0
454;12;14;6;3000;0
455;13;14;6;600;0
456;1;2;5;3000;0
457;1;3;5;3000;0
458;1;4;5;3000;0
459;1;5;3;6000;0
460;1;6;3;6000;0
461;1;7;3;6000;0
462;1;8;3;6000;0
463;1;9;3;6000;0
464;1;10;3;6000;0
465;1;11;3;6000;0
466;1;12;3;6000;0
467;1;13;3;6000;0
468;1;14;3;6000;0
469;2;3;5;3000;0
470;2;4;5;3000;0
471;2;5;5;3000;0
472;2;6;3;6000;0
473;2;7;3;6000;0
474;2;8;3;6000;0
475;2;9;3;6000;0
476;2;10;3;6000;0
477;2;11;3;6000;0
478;2;12;3;6000;0
479;2;13;3;6000;0
480;2;14;3;6000;0
481;3;4;5;3000;0
482;3;5;5;3000;0
483;3;6;5;3000;0
484;3;7;3;6000;0
485;3;8;3;6000;0
486;3;9;3;6000;0
487;3;10;3;6000;0
488;3;11;3;6000;0
489;3;12;3;6000;0
490;3;13;3;6000;0
491;3;14;3;6000;0
492;4;5;5;3000;0
493;4;6;5;3000;0
494;4;7;5;3000;0
495;4;8;5;3000;0
496;4;9;3;6000;0
497;4;10;3;6000;0
498;4;11;3;6000;0
499;4;12;3;6000;0
500;4;13;3;6000;0
501;4;14;3;6000;0
502;5;6;5;3000;0
503;5;7;5;3000;0
504;5;8;3;6000;0
505;5;9;5;3000;0
506;5;10;5;3000;0
507;5;11;3;6000;0
508;5;12;3;6000;0
509;5;13;3;6000;0
510;5;14;3;6000;0
511;6;7;5;3000;0
512;6;8;3;6000;0
513;6;9;3;6000;0
514;6;10;5;3000;0
515;6;11;3;6000;0
516;6;12;5;3000;0
517;6;13;5;3000;0
518;6;14;5;3000;0
519;7;8;5;3000;0
520;7;9;5;3000;0
521;7;10;5;3000;0
522;7;11;3;6000;0
523;7;12;5;3000;0
524;7;13;3;6000;0
525;7;14;5;3000;0
526;8;9;3;6000;0
527;8;10;3;6000;0
528;8;11;5;3000;0
529;8;12;5;3000;0
530;8;13;5;3000;0
531;8;14;5;3000;0
532;9;10;5;3000;0
533;9;11;3;6000;0
534;9;12;3;6000;0
535;9;13;5;3000;0
536;9;14;6;600;0
537;10;11;3;6000;0
538;10;12;5;3000;0
539;10;13;3;6000;0
540;10;14;5;3000;0
541;11;12;5;3000;0
542;11;13;5;3000;0
543;11;14;3;3000;0
544;12;13;6;600;0
545;12;14;6;3000;0
546;13;14;6;600;0
547;1;2;5;3000;0
548;1;3;5;3000;0
549;1;4;5;3000;0
550;1;5;3;6000;0
551;1;6;3;6000;0
552;1;7;3;6000;0
553;1;8;3;6000;0
554;1;9;3;6000;0
555;1;10;3;6000;0
556;1;11;3;6000;0
557;1;12;3;6000;0
558;1;13;3;6000;0
559;1;14;3;6000;0
560;2;3;5;3000;0
561;2;4;5;3000;0
562;2;5;5;3000;0
563;2;6;3;6000;0
564;2;7;3;6000;0
565;2;8;3;6000;0
566;2;9;3;6000;0
567;2;10;3;6000;0
568;2;11;3;6000;0
569;2;12;3;6000;0
570;2;13;3;6000;0
571;2;14;3;6000;0
572;3;4;5;3000;0
573;3;5;5;3000;0
574;3;6;5;3000;0
575;3;7;3;6000;0
576;3;8;3;6000;0
577;3;9;3;6000;0
578;3;10;3;6000;0
579;3;11;3;6000;0
580;3;12;3;6000;0
581;3;13;3;6000;0
582;3;14;3;6000;0
583;4;5;5;3000;0
584;4;6;5;3000;0
585;4;7;5;3000;0
586;4;8;5;3000;0
587;4;9;3;6000;0
588;4;10;3;6000;0
589;4;11;3;6000;0
590;4;12;3;6000;0
591;4;13;3;6000;0
592;4;14;3;6000;0
593;5;6;5;3000;0
594;5;7;5;3000;0
595;5;8;3;6000;0
596;5;9;5;3000;0
597;5;10;5;3000;0
598;5;11;3;6000;0
599;5;12;3;6000;0
60;5;13;3;6000;0
601;5;14;3;6000;0
602;6;7;5;3000;0
603;6;8;3;6000;0
604;6;9;3;6000;0
605;6;10;5;3000;0
606;6;11;3;6000;0
607;6;12;5;3000;0
608;6;13;5;3000;0
609;6;14;5;3000;0
610;7;8;5;3000;0
611;7;9;5;3000;0
612;7;10;5;3000;0
613;7;11;3;6000;0
614;7;12;5;3000;0
615;7;13;3;6000;0
616;7;14;5;3000;0
617;8;9;3;6000;0
618;8;10;3;6000;0
619;8;11;5;3000;0
620;8;12;5;3000;0
621;8;13;5;3000;0
622;8;14;5;3000;0
623;9;10;5;3000;0
624;9;11;3;6000;0
625;9;12;3;6000;0
626;9;13;5;3000;0
627;9;14;6;600;0
628;10;11;3;6000;0
629;10;12;5;3000;0
630;10;13;3;6000;0
631;10;14;5;3000;0
632;11;12;5;3000;0
633;11;13;5;3000;0
634;11;14;3;3000;0
635;12;13;6;600;0
636;12;14;6;3000;0
637;13;14;6;600;0
