Path;Distance;max_lengthC;osnrC;osnrC val;osnrL;osnrL val;osnrS;osnrS val;max_lengthL;max_lengthC;
2-5-9-8-11-13-15-16-17-;1312;yes;no;20,1646;no;19,3477;no;17,479;yes;no;
2-5-9-8-11-12-14-15-16-17-;1104;yes;no;20,1068;no;19,3485;no;17,4973;yes;yes;
2-5-9-8-11-12-14-15-13-17-;1230;yes;no;20,0189;no;19,2684;no;17,4074;yes;yes;
2-5-9-8-11-10-13-17-;1471;yes;no;20,2318;no;19,3376;no;17,4566;yes;no;
2-5-9-8-11-10-13-15-16-17-;1761;yes;no;19,2969;no;18,3935;no;16,5182;no;no;
2-5-9-6-7-8-11-13-17-;1041;yes;no;20,6055;no;19,8896;no;18,0293;yes;yes;
2-5-9-6-7-8-11-13-15-16-17-;1331;yes;no;19,5957;no;18,8319;no;16,9735;yes;no;
2-5-9-6-7-8-11-12-14-15-16-17-;1123;yes;no;19,545;no;18,8326;no;16,9899;yes;yes;
2-5-9-6-7-8-11-12-14-15-13-17-;1249;yes;no;19,4676;no;18,7614;no;16,9097;yes;yes;
2-5-9-6-7-8-11-10-13-17-;1490;yes;no;19,6546;no;18,8229;no;16,9536;yes;no;
2-5-9-6-7-8-11-10-13-15-16-17-;1780;yes;no;18,8257;no;17,9747;no;16,1085;no;no;
2-5-4-10-13-17-;1092;yes;yes;21,5121;no;20,6292;no;18,749;yes;yes;
2-5-4-10-13-15-16-17-;1382;yes;no;20,298;no;19,4006;no;17,5276;yes;no;
2-5-4-10-13-11-12-14-15-16-17-;1624;yes;no;19,1217;no;18,2329;no;16,3732;yes;no;
2-5-4-10-11-13-17-;1429;yes;no;20,4327;no;19,4361;no;17,5605;yes;no;
2-5-4-10-11-13-15-16-17-;1719;yes;no;19,4582;no;18,4726;no;16,6017;no;no;
2-5-4-10-11-12-14-15-16-17-;1511;yes;no;19,4091;no;18,4732;no;16,6167;yes;no;
2-5-4-10-11-12-14-15-13-17-;1637;yes;no;19,3341;no;18,4076;no;16,5431;yes;no;
2-5-3-1-9-8-11-13-17-;1444;yes;no;19,8707;no;18,967;no;17,1004;yes;no;
2-5-3-1-9-8-11-13-15-16-17-;1734;yes;no;19,0034;no;18,0929;no;16,229;no;no;
2-5-3-1-9-8-11-12-14-15-16-17-;1526;yes;no;18,9591;no;18,0934;no;16,2427;yes;no;
2-5-3-1-9-8-11-12-14-15-13-17-;1652;yes;no;18,8915;no;18,0333;no;16,1752;no;no;
2-5-3-1-9-8-11-10-13-17-;1893;yes;no;19,0548;no;18,0853;no;16,2122;no;no;
2-5-3-1-9-6-7-8-11-13-17-;1463;yes;no;19,3368;no;18,4922;no;16,635;yes;no;
2-5-3-1-9-6-7-8-11-13-15-16-17-;1753;yes;no;18,5615;no;17,7009;no;15,8446;no;no;
2-5-3-1-9-6-7-8-11-12-14-15-16-17-;1545;yes;no;18,5214;no;17,7014;no;15,8571;yes;no;
2-5-3-1-9-6-7-8-11-12-14-15-13-17-;1671;yes;no;18,4602;no;17,6464;no;15,7953;no;no;
2-5-3-1-9-6-7-8-11-10-13-17-;1912;yes;no;18,6078;no;17,6939;no;15,8292;no;no;
2-4-10-13-17-;930;yes;yes;22,3769;yes;21,5428;no;19,6539;yes;yes;
2-4-10-13-15-16-17-;1220;yes;no;20,9355;no;20,0707;no;18,1926;yes;yes;
2-4-10-13-11-12-14-15-16-17-;1462;yes;no;19,5993;no;18,7354;no;16,8736;yes;no;
2-4-10-11-13-17-;1267;yes;yes;21,0919;no;20,1121;no;18,2309;yes;no;
2-4-10-11-13-15-16-17-;1557;yes;no;19,9766;no;19,0054;no;17,1309;yes;no;
2-4-10-11-12-14-15-16-17-;1349;yes;no;19,9213;no;19,0061;no;17,1478;yes;no;
2-4-10-11-12-14-15-13-17-;1475;yes;no;19,837;no;18,932;no;17,0647;yes;no;
2-4-10-5-11-13-17-;1490;yes;no;20,6013;no;19,7083;no;17,8144;yes;no;
2-4-10-5-11-13-15-16-17-;1780;yes;no;19,5924;no;18,6892;no;16,8042;no;no;
2-4-10-5-11-12-14-15-16-17-;1572;yes;no;19,5417;no;18,6899;no;16,8199;yes;no;
2-4-10-5-11-12-14-15-13-17-;1698;yes;no;19,4644;no;18,621;no;16,7428;no;no;
2-4-10-5-9-8-11-13-17-;1610;yes;no;19,9582;no;19,1624;no;17,2713;yes;no;
2-4-10-5-9-8-11-13-15-16-17-;1900;yes;no;19,075;no;18,2519;no;16,3683;no;no;
2-4-10-5-9-8-11-12-14-15-16-17-;1692;yes;no;19,03;no;18,2525;no;16,3825;no;no;
2-4-10-5-9-8-11-12-14-15-13-17-;1818;yes;no;18,9612;no;18,1902;no;16,3128;no;no;
2-4-10-5-9-6-7-8-11-13-17-;1629;yes;no;19,4141;no;18,6669;no;16,7882;yes;no;
2-4-10-5-9-6-7-8-11-13-15-16-17-;1919;yes;no;18,6261;no;17,846;no;15,9719;no;no;
2-4-10-5-9-6-7-8-11-12-14-15-16-17-;1711;yes;no;18,5854;no;17,8465;no;15,9848;no;no;
2-4-10-5-9-6-7-8-11-12-14-15-13-17-;1837;yes;no;18,5233;no;17,7897;no;15,9211;no;no;
2-4-5-11-13-17-;1322;yes;yes;21,0959;no;20,1478;no;18,2588;yes;no;
2-4-5-11-13-15-16-17-;1612;yes;no;19,9797;no;19,033;no;17,1525;yes;no;
2-4-5-11-12-14-15-16-17-;1404;yes;no;19,9243;no;19,0337;no;17,1695;yes;no;
2-4-5-11-12-14-15-13-17-;1530;yes;no;19,84;no;18,9592;no;17,086;yes;no;
2-4-5-11-10-13-17-;1771;yes;no;20,0441;no;19,0236;no;17,1317;no;no;
2-4-5-10-13-17-;1290;yes;yes;21,2428;no;20,3441;no;18,4501;yes;no;
2-4-5-10-13-15-16-17-;1580;yes;no;20,0929;no;19,1841;no;17,3001;yes;no;
2-4-5-10-13-11-12-14-15-16-17-;1822;yes;no;18,9644;no;18,0664;no;16,1977;no;no;
2-4-5-10-11-13-17-;1627;yes;no;20,2213;no;19,2178;no;17,3312;yes;no;
2-4-5-10-11-13-15-16-17-;1917;yes;no;19,2884;no;18,2968;no;16,4169;no;no;
2-4-5-10-11-12-14-15-16-17-;1709;yes;no;19,2412;no;18,2974;no;16,4313;no;no;
2-4-5-10-11-12-14-15-13-17-;1835;yes;no;19,169;no;18,2344;no;16,3608;no;no;
2-4-5-9-8-11-13-17-;1442;yes;no;20,3813;no;19,5475;no;17,661;yes;no;
2-4-5-9-8-11-13-15-16-17-;1732;yes;no;19,4171;no;18,5616;no;16,6821;no;no;
2-4-5-9-8-11-12-14-15-16-17-;1524;yes;no;19,3684;no;18,5622;no;16,6974;yes;no;
2-4-5-9-8-11-12-14-15-13-17-;1650;yes;no;19,2941;no;18,4953;no;16,6224;yes;no;
2-4-5-9-8-11-10-13-17-;1891;yes;no;19,4736;no;18,5531;no;16,6635;no;no;
2-4-5-9-6-7-8-11-13-17-;1461;yes;no;19,7852;no;19,0089;no;17,1352;yes;no;
2-4-5-9-6-7-8-11-13-15-16-17-;1751;yes;no;18,9333;no;18,127;no;16,2574;no;no;
2-4-5-9-6-7-8-11-12-14-15-16-17-;1543;yes;no;18,8897;no;18,1276;no;16,2712;yes;no;
2-4-5-9-6-7-8-11-12-14-15-13-17-;1669;yes;no;18,8231;no;18,067;no;16,2032;no;no;
2-4-5-9-6-7-8-11-10-13-17-;1910;yes;no;18,9839;no;18,1194;no;16,2405;no;no;
2-4-5-3-1-9-8-11-13-17-;1864;yes;no;19,1683;no;18,2416;no;16,3647;no;no;
2-4-5-3-1-9-8-11-12-14-15-16-17-;1946;yes;no;18,3814;no;17,4915;no;15,6301;no;no;
2-4-5-3-1-9-6-7-8-11-13-17-;1883;yes;no;18,7101;no;17,8366;no;15,9686;no;no;
2-4-5-3-1-9-6-7-8-11-12-14-15-16-17-;1965;yes;no;17,9958;no;17,1482;no;15,2933;no;no;
2-3-5-11-13-17-;999;yes;yes;21,7607;no;20,9424;no;19,0624;yes;yes;
2-3-5-11-13-15-16-17-;1289;yes;no;20,4847;no;19,6346;no;17,762;yes;no;
2-3-5-11-12-14-15-16-17-;1081;yes;no;20,4225;no;19,6354;no;17,7816;yes;yes;
2-3-5-11-12-14-15-13-17-;1207;yes;no;20,328;no;19,5499;no;17,6856;yes;yes;
2-3-5-11-10-13-17-;1448;yes;no;20,5571;no;19,6238;no;17,7381;yes;no;
2-3-5-11-10-13-15-16-17-;1738;yes;no;19,5573;no;18,6222;no;16,7435;no;no;
2-3-5-10-13-17-;967;yes;yes;21,9324;yes;21,1792;no;19,2937;yes;yes;
2-3-5-10-13-15-16-17-;1257;yes;no;20,612;no;19,8086;no;17,9322;yes;no;
2-3-5-10-13-11-12-14-15-16-17-;1499;yes;no;19,3592;no;18,5411;no;16,68;yes;no;
2-3-5-10-11-13-17-;1304;yes;no;20,757;no;19,8476;no;17,9683;yes;no;
2-3-5-10-11-13-15-16-17-;1594;yes;no;19,7153;no;18,799;no;16,9257;yes;no;
2-3-5-10-11-12-14-15-16-17-;1386;yes;no;19,6632;no;18,7996;no;16,9418;yes;no;
2-3-5-10-11-12-14-15-13-17-;1512;yes;no;19,5837;no;18,729;no;16,8626;yes;no;
2-3-5-9-8-11-13-17-;1119;yes;no;20,9385;no;20,231;no;18,3525;yes;yes;
2-3-5-9-8-11-13-15-16-17-;1409;yes;no;19,8575;no;19,0973;no;17,225;yes;no;
2-3-5-9-8-11-12-14-15-16-17-;1201;yes;no;19,8036;no;19,098;no;17,2423;yes;yes;
2-3-5-9-8-11-12-14-15-13-17-;1327;yes;no;19,7216;no;19,0224;no;17,1574;yes;no;
2-3-5-9-8-11-10-13-17-;1568;yes;no;19,9201;no;19,0877;no;17,2038;yes;no;
2-3-5-9-8-11-10-13-15-16-17-;1858;yes;no;19,0439;no;18,1913;no;16,3134;no;no;
2-3-5-9-6-7-8-11-13-17-;1138;yes;no;20,2668;no;19,6069;no;17,7421;yes;yes;
2-3-5-9-6-7-8-11-13-15-16-17-;1428;yes;no;19,3251;no;18,6088;no;16,7467;yes;no;
2-3-5-9-6-7-8-11-12-14-15-16-17-;1220;yes;no;19,2775;no;18,6095;no;16,7622;yes;yes;
2-3-5-9-6-7-8-11-12-14-15-13-17-;1346;yes;no;19,2047;no;18,5418;no;16,6861;yes;no;
2-3-5-9-6-7-8-11-10-13-17-;1587;yes;no;19,3805;no;18,6003;no;16,7278;yes;no;
2-3-5-9-6-7-8-11-10-13-15-16-17-;1877;yes;no;18,598;no;17,7907;no;15,9218;no;no;
2-3-5-4-10-13-17-;1189;yes;yes;21,0985;no;20,296;no;18,412;yes;yes;
2-3-5-4-10-13-15-16-17-;1479;yes;no;19,9817;no;19,1472;no;17,2708;yes;no;
2-3-5-4-10-13-11-12-14-15-16-17-;1721;yes;no;18,8784;no;18,0379;no;16,175;no;no;
2-3-5-4-10-11-13-17-;1526;yes;no;20,1068;no;19,1807;no;17,3018;yes;no;
2-3-5-4-10-11-13-15-16-17-;1816;yes;no;19,1959;no;18,2668;no;16,393;no;no;
2-3-5-4-10-11-12-14-15-16-17-;1608;yes;no;19,1496;no;18,2673;no;16,4073;yes;no;
2-3-5-4-10-11-12-14-15-13-17-;1734;yes;no;19,0789;no;18,2048;no;16,3372;no;no;
2-3-1-9-8-11-13-17-;1277;yes;no;20,455;no;19,582;no;17,7117;yes;no;
2-3-1-9-8-11-13-15-16-17-;1567;yes;no;19,476;no;18,589;no;16,7226;yes;no;
2-3-1-9-8-11-12-14-15-16-17-;1359;yes;no;19,4267;no;18,5896;no;16,738;yes;no;
2-3-1-9-8-11-12-14-15-13-17-;1485;yes;no;19,3514;no;18,5223;no;16,6623;yes;no;
2-3-1-9-8-11-10-13-17-;1726;yes;no;19,5333;no;18,5805;no;16,7037;no;no;
2-3-1-9-8-11-5-10-13-17-;1949;yes;no;19,1849;no;18,2928;no;16,4066;no;no;
2-3-1-9-6-7-8-11-13-17-;1296;yes;no;19,8494;no;19,0393;no;17,18;yes;no;
2-3-1-9-6-7-8-11-13-15-16-17-;1586;yes;no;18,986;no;18,1519;no;16,294;yes;no;
2-3-1-9-6-7-8-11-12-14-15-16-17-;1378;yes;no;18,9419;no;18,1524;no;16,308;yes;no;
2-3-1-9-6-7-8-11-12-14-15-13-17-;1504;yes;no;18,8745;no;18,0915;no;16,2394;yes;no;
2-3-1-9-6-7-8-11-10-13-17-;1745;yes;no;19,0372;no;18,1442;no;16,277;no;no;
2-3-1-9-6-7-8-11-5-10-13-17-;1968;yes;no;18,725;no;17,8832;no;16,0068;no;no;
2-3-1-9-5-11-13-17-;1523;yes;no;20,1013;no;19,1708;no;17,2924;yes;no;
2-3-1-9-5-11-13-15-16-17-;1813;yes;no;19,1914;no;18,2588;no;16,3854;no;no;
2-3-1-9-5-11-12-14-15-16-17-;1605;yes;no;19,1452;no;18,2593;no;16,3997;yes;no;
2-3-1-9-5-11-12-14-15-13-17-;1731;yes;no;19,0746;no;18,1969;no;16,3296;no;no;
2-3-1-9-5-11-10-13-17-;1972;yes;no;19,2451;no;18,2509;no;16,368;no;no;
2-3-1-9-5-10-13-17-;1491;yes;no;20,2178;no;19,3268;no;17,4449;yes;no;
2-3-1-9-5-10-13-15-16-17-;1781;yes;no;19,2856;no;18,3848;no;16,5088;no;no;
2-3-1-9-5-10-11-13-17-;1828;yes;no;19,392;no;18,4129;no;16,5347;no;no;
2-3-1-9-5-10-11-12-14-15-16-17-;1910;yes;no;18,5671;no;17,6351;no;15,7732;no;no;
2-3-1-9-5-4-10-13-17-;1713;yes;no;19,6387;no;18,7304;no;16,849;no;no;
4-10-13-15-14-12-11-;909;yes;no;21,3862;no;20,5767;no;18,7198;no;no;
4-10-13-11-;701;yes;no;23,3144;no;22,4307;no;20,5556;yes;no;
4-10-11-;588;yes;yes;24,1137;no;23,0933;no;21,2249;yes;yes;
4-10-5-11-;811;yes;no;23,18;no;22,3249;no;20,4312;yes;no;
4-10-5-9-8-11-;931;yes;no;22,0775;no;21,3743;no;19,4852;no;no;
4-10-5-9-6-7-8-11-;950;yes;no;21,2231;no;20,5785;no;18,7082;no;no;
4-5-11-;643;yes;yes;24,1217;no;23,1645;no;21,2806;yes;no;
4-5-10-11-;948;yes;no;22,5146;no;21,4669;no;19,5855;no;no;
4-5-9-8-11-;763;yes;no;22,7896;no;22,0355;no;20,1548;yes;no;
4-5-9-6-7-8-11-;782;yes;no;21,7991;no;21,1218;no;19,2608;yes;no;
4-2-5-11-;799;yes;no;22,9305;no;21,953;no;20,0782;yes;no;
4-2-5-9-8-11-;919;yes;no;21,8827;no;21,0731;no;19,1991;no;no;
4-2-5-9-6-7-8-11-;938;yes;no;21,0624;no;20,3263;no;18,4678;no;no;
4-2-3-5-11-;896;yes;no;22,3671;no;21,507;no;19,6266;no;no;
4-10-13-17-;642;yes;yes;23,6957;yes;22,9407;yes;21,0555;yes;yes;
4-10-13-15-16-17-;932;yes;yes;21,8395;yes;21,0186;no;19,1455;yes;yes;
4-10-13-11-12-14-15-16-17-;1174;yes;no;20,245;no;19,4116;no;17,556;yes;yes;
4-10-11-13-17-;979;yes;yes;22,0329;yes;21,0702;no;19,1933;yes;yes;
4-10-11-13-15-16-17-;1269;yes;no;20,6859;no;19,7288;no;17,8586;yes;no;
4-10-11-12-14-15-16-17-;1061;yes;no;20,6208;no;19,7296;no;17,8786;yes;yes;
4-10-11-12-14-15-13-17-;1187;yes;no;20,522;no;19,6423;no;17,7805;yes;yes;
4-10-5-11-13-17-;1202;yes;yes;21,4314;no;20,5723;no;18,6794;yes;yes;
4-10-5-11-13-15-16-17-;1492;yes;no;20,2369;no;19,3577;no;17,4749;yes;no;
4-10-5-11-12-14-15-16-17-;1284;yes;no;20,1782;no;19,3585;no;17,4932;yes;no;
4-10-5-11-12-14-15-13-17-;1410;yes;no;20,0888;no;19,2782;no;17,4034;yes;no;
4-10-5-9-8-11-13-17-;1322;yes;no;20,6643;no;19,9149;no;18,0252;yes;no;
4-10-5-9-8-11-13-15-16-17-;1612;yes;no;19,6422;no;18,8517;no;16,9703;yes;no;
4-10-5-9-8-11-12-14-15-16-17-;1404;yes;no;19,591;no;18,8524;no;16,9866;yes;no;
4-10-5-9-8-11-12-14-15-13-17-;1530;yes;no;19,5128;no;18,7809;no;16,9066;yes;no;
4-10-5-9-6-7-8-11-13-17-;1341;yes;no;20,0308;no;19,3317;no;17,4562;yes;no;
4-10-5-9-6-7-8-11-13-15-16-17-;1631;yes;no;19,1342;no;18,3887;no;16,5179;yes;no;
4-10-5-9-6-7-8-11-12-14-15-16-17-;1423;yes;no;19,0885;no;18,3894;no;16,5326;yes;no;
4-10-5-9-6-7-8-11-12-14-15-13-17-;1549;yes;no;19,0188;no;18,325;no;16,4604;yes;no;
4-10-5-3-1-9-8-11-13-17-;1744;yes;no;19,3806;no;18,5106;no;16,632;no;no;
4-10-5-3-1-9-8-11-12-14-15-16-17-;1826;yes;no;18,5577;no;17,7166;no;15,8546;no;no;
4-10-5-3-1-9-8-11-12-14-15-13-17-;1952;yes;no;18,496;no;17,6615;no;15,7928;no;no;
4-10-5-3-1-9-6-7-8-11-13-17-;1763;yes;no;18,9007;no;18,0809;no;16,2119;no;no;
4-10-5-3-1-9-6-7-8-11-12-14-15-16-17-;1845;yes;no;18,1569;no;17,3558;no;15,5007;no;no;
4-10-5-3-1-9-6-7-8-11-12-14-15-13-17-;1971;yes;no;18,1006;no;17,3051;no;15,4437;no;no;
4-10-5-2-3-1-9-8-11-13-17-;1895;yes;no;18,951;no;18,0659;no;16,1905;no;no;
4-10-5-2-3-1-9-8-11-12-14-15-16-17-;1977;yes;no;18,1993;no;17,3432;no;15,4825;no;no;
4-10-5-2-3-1-9-6-7-8-11-13-17-;1914;yes;no;18,514;no;17,6763;no;15,8093;no;no;
4-10-5-2-3-1-9-6-7-8-11-12-14-15-16-17-;1996;yes;no;17,8289;no;17,011;no;15,1565;no;no;
4-5-11-13-17-;1034;yes;yes;22,0378;yes;21,1147;no;19,2281;yes;yes;
4-5-11-13-15-16-17-;1324;yes;no;20,6896;no;19,7614;no;17,8842;yes;no;
4-5-11-12-14-15-16-17-;1116;yes;no;20,6244;no;19,7622;no;17,9043;yes;yes;
4-5-11-12-14-15-13-17-;1242;yes;no;20,5255;no;19,6743;no;17,8056;yes;yes;
4-5-11-10-13-17-;1483;yes;no;20,7655;no;19,7503;no;17,8596;yes;no;
4-5-11-10-13-15-16-17-;1773;yes;no;19,722;no;18,7224;no;16,8399;no;no;
4-5-10-13-17-;1002;yes;yes;22,2211;yes;21,3614;no;19,4686;yes;yes;
4-5-10-13-15-16-17-;1292;yes;no;20,8231;no;19,9407;no;18,0594;yes;no;
4-5-10-13-11-12-14-15-16-17-;1534;yes;no;19,5164;no;18,6394;no;16,7749;yes;no;
4-5-10-11-13-17-;1339;yes;no;20,9755;no;19,9809;no;18,0966;yes;no;
4-5-10-11-13-15-16-17-;1629;yes;no;19,8863;no;18,9033;no;17,0262;yes;no;
4-5-10-11-12-14-15-16-17-;1421;yes;no;19,8321;no;18,904;no;17,0427;yes;no;
4-5-10-11-12-14-15-13-17-;1547;yes;no;19,7495;no;18,8317;no;16,9616;yes;no;
4-5-9-8-11-13-17-;1154;yes;yes;21,1666;no;20,3769;no;18,4928;yes;yes;
4-5-9-8-11-13-15-16-17-;1444;yes;no;20,0343;no;19,2092;no;17,3328;yes;no;
4-5-9-8-11-12-14-15-16-17-;1236;yes;no;19,9782;no;19,2099;no;17,3505;yes;yes;
4-5-9-8-11-12-14-15-13-17-;1362;yes;no;19,8928;no;19,1323;no;17,2635;yes;no;
4-5-9-8-11-10-13-17-;1603;yes;no;20,0995;no;19,1994;no;17,3111;yes;no;
4-5-9-8-11-10-13-15-16-17-;1893;yes;no;19,1899;no;18,2819;no;16,4006;no;no;
4-5-9-6-7-8-11-13-17-;1173;yes;no;20,4614;no;19,7329;no;17,8637;yes;yes;
4-5-9-6-7-8-11-13-15-16-17-;1463;yes;no;19,4811;no;18,7087;no;16,8432;yes;no;
4-5-9-6-7-8-11-12-14-15-16-17-;1255;yes;no;19,4317;no;18,7093;no;16,859;yes;no;
4-5-9-6-7-8-11-12-14-15-13-17-;1381;yes;no;19,3563;no;18,6401;no;16,7812;yes;no;
4-5-9-6-7-8-11-10-13-17-;1622;yes;no;19,5385;no;18,6999;no;16,8238;yes;no;
4-5-9-6-7-8-11-10-13-15-16-17-;1912;yes;no;18,7295;no;17,8732;no;16,0014;no;no;
4-5-3-1-9-8-11-13-17-;1576;yes;no;19,7487;no;18,8399;no;16,9662;yes;no;
4-5-3-1-9-8-11-13-15-16-17-;1866;yes;no;18,9033;no;17,9887;no;16,1189;no;no;
4-5-3-1-9-8-11-12-14-15-16-17-;1658;yes;no;18,86;no;17,9892;no;16,1323;no;no;
4-5-3-1-9-8-11-12-14-15-13-17-;1784;yes;no;18,7939;no;17,9305;no;16,0664;no;no;
4-5-3-1-9-6-7-8-11-13-17-;1595;yes;no;19,2288;no;18,3781;no;16,5142;yes;no;
4-5-3-1-9-6-7-8-11-13-15-16-17-;1885;yes;no;18,4709;no;17,6056;no;15,7437;no;no;
4-5-3-1-9-6-7-8-11-12-14-15-16-17-;1677;yes;no;18,4317;no;17,6061;no;15,756;no;no;
4-5-3-1-9-6-7-8-11-12-14-15-13-17-;1803;yes;no;18,3717;no;17,5523;no;15,6955;no;no;
4-5-2-3-1-9-8-11-13-17-;1727;yes;no;19,283;no;18,3621;no;16,4912;no;no;
4-5-2-3-1-9-8-11-12-14-15-16-17-;1809;yes;no;18,4768;no;17,5927;no;15,7366;no;no;
4-5-2-3-1-9-8-11-12-14-15-13-17-;1935;yes;no;18,4162;no;17,5391;no;15,6764;no;no;
4-5-2-3-1-9-6-7-8-11-13-17-;1746;yes;no;18,8132;no;17,9462;no;16,0839;no;no;
4-5-2-3-1-9-6-7-8-11-12-14-15-16-17-;1828;yes;no;18,0831;no;17,2416;no;15,3918;no;no;
4-5-2-3-1-9-6-7-8-11-12-14-15-13-17-;1954;yes;no;18,0277;no;17,1922;no;15,3362;no;no;
4-2-5-11-13-17-;1190;yes;yes;21,263;no;20,3204;no;18,4405;yes;yes;
4-2-5-11-13-15-16-17-;1480;yes;no;20,1084;no;19,1659;no;17,2926;yes;no;
4-2-5-11-12-14-15-16-17-;1272;yes;no;20,0514;no;19,1667;no;17,3102;yes;no;
4-2-5-11-12-14-15-13-17-;1398;yes;no;19,9645;no;19,0899;no;17,224;yes;no;
4-2-5-11-10-13-17-;1639;yes;no;20,1747;no;19,1562;no;17,2712;yes;no;
4-2-5-11-10-13-15-16-17-;1929;yes;no;19,2509;no;18,2469;no;16,3682;no;no;
4-2-5-10-13-17-;1158;yes;yes;21,4158;no;20,5249;no;18,6402;yes;yes;
4-2-5-10-13-15-16-17-;1448;yes;no;20,225;no;19,3218;no;17,4451;yes;no;
4-2-5-10-13-11-12-14-15-16-17-;1690;yes;no;19,066;no;18,1725;no;16,3099;no;no;
4-2-5-10-11-13-17-;1495;yes;no;20,3574;no;19,3566;no;17,4774;yes;no;
4-2-5-10-11-13-15-16-17-;1785;yes;no;19,398;no;18,4088;no;16,535;no;no;
4-2-5-10-11-12-14-15-16-17-;1577;yes;no;19,3495;no;18,4094;no;16,5497;yes;no;
4-2-5-10-11-12-14-15-13-17-;1703;yes;no;19,2755;no;18,3448;no;16,4772;no;no;
4-2-5-9-8-11-13-17-;1310;yes;no;20,5227;no;19,6975;no;17,8189;yes;no;
4-2-5-9-8-11-13-15-16-17-;1600;yes;no;19,53;no;18,6807;no;16,8077;yes;no;
4-2-5-9-8-11-12-14-15-16-17-;1392;yes;no;19,48;no;18,6813;no;16,8234;yes;no;
4-2-5-9-8-11-12-14-15-13-17-;1518;yes;no;19,4038;no;18,6125;no;16,7463;yes;no;
4-2-5-9-8-11-10-13-17-;1759;yes;no;19,588;no;18,672;no;16,7885;no;no;
4-2-5-9-6-7-8-11-13-17-;1329;yes;no;19,9082;no;19,1411;no;17,2747;yes;no;
4-2-5-9-6-7-8-11-13-15-16-17-;1619;yes;no;19,0342;no;18,2347;no;16,3711;yes;no;
4-2-5-9-6-7-8-11-12-14-15-16-17-;1411;yes;no;18,9895;no;18,2352;no;16,3853;yes;no;
4-2-5-9-6-7-8-11-12-14-15-13-17-;1537;yes;no;18,9214;no;18,1732;no;16,3155;yes;no;
4-2-5-9-6-7-8-11-10-13-17-;1778;yes;no;19,0859;no;18,2268;no;16,3537;no;no;
4-2-5-3-1-9-8-11-13-17-;1732;yes;no;19,2748;no;18,3522;no;16,4813;no;no;
