Index;Origin;Destination;length;slices;cost;lineAmps;pnliC;paseC;pnliL;paseL;pnliS;paseS
17;4;12;1452;144;0;19;4.5145619155586325e-07;3.1628416583048787e-06;2.962366636134754e-07;4.978586028418126e-06;7.307885233995934e-07;7.4572179202378e-06
18;4;13;1051;144;0;14;3.313509933067412e-07;2.185790419640234e-06;2.1762293087822494e-07;3.4208531214620398e-06;5.368556963019871e-07;5.123954282251018e-06
19;4;15;790;144;0;10;2.3923566006861713e-07;1.8809824699184775e-06;1.5672757852518084e-07;2.993776434966352e-06;3.866324792121401e-07;4.484253792659729e-06
20;4;16;342;144;0;5;1.1558555816104398e-07;5.67425148343629e-07;7.63030467813377e-08;8.633812159420832e-07;1.882325779937233e-07;1.2932229831460242e-06
21;5;9;601;144;0;8;1.893737930994679e-07;1.2522087176637592e-06;1.2437133915319738e-07;1.960206398627331e-06;3.0681262131545536e-07;2.9361120205154095e-06
22;5;10;574;144;0;8;1.87312007615274e-07;1.0661040501667786e-06;1.2331837288753006e-07;1.6451501452578638e-06;3.042150506667371e-07;2.464202300546933e-06
23;5;18;279;144;0;4;9.296822873503687e-08;4.843608854384009e-07;6.130325170287928e-08;7.411709775803985e-07;1.5122946716006322e-07;1.110169326074469e-06
24;6;11;417;144;0;6;1.3931685845673921e-07;7.178756986862321e-07;9.188437148062628e-08;1.0973447833637083e-06;2.2667026875998117e-07;1.6436673257164518e-06
25;7;11;1264;144;0;16;3.827770561097874e-07;3.009571951869564e-06;2.5076412564028934e-07;4.790042295946163e-06;6.186119667394242e-07;7.174806068255566e-06
26;7;16;463;144;0;6;1.4285903289631307e-07;1.0347480147430545e-06;9.36960226590247e-08;1.6339904858448892e-06;2.3113944510509544e-07;2.4474867086734254e-06
27;8;12;1683;144;0;22;5.228545644407829e-07;3.6759837483139747e-06;3.430691301019389e-07;5.788270449896009e-06;8.463198982631754e-07;8.6700106977688e-06
28;8;13;1188;144;0;15;3.59031258348165e-07;2.848285707151093e-06;2.3517963318174657e-07;4.537244026910885e-06;5.801664614032895e-07;6.796150005812479e-06
29;8;14;1461;144;0;19;4.5205107501234154e-07;3.2347228837914462e-06;2.9653560445490293e-07;5.102066179553788e-06;7.315259828802192e-07;7.642173727084651e-06
30;8;17;527;144;0;7;1.6578140636032817e-07;1.1040862616617472e-06;1.0886507725233774e-07;1.7295203665901517e-06;2.6856010354891003e-07;2.5905769625216854e-06
31;9;10;320;144;0;4;9.592709455055964e-08;7.888100432013827e-07;6.280641198731196e-08;1.2608941832316136e-06;1.5493762492586484e-07;1.8886412015473369e-06
32;9;15;304;144;0;4;9.492984008125504e-08;6.526842919411465e-07;6.230841683267467e-08;1.0255338686786777e-06;1.537091168159018e-07;1.5361047292681534e-06
33;10;16;357;144;0;5;1.1692499051104442e-07;6.552551821004373e-07;7.699925026330814e-08;1.0096594260518234e-06;1.8995004776390232e-07;1.5123270587900198e-06
34;11;16;1153;144;0;15;3.568548729459716e-07;2.550331112464653e-06;2.3409322462338022e-07;4.02210470340612e-06;5.774863917032973e-07;6.024544137654067e-06
35;12;13;502;144;0;7;1.6387743421170362e-07;9.312496071832445e-07;1.0789298264059049e-07;1.436833876875333e-06;2.6616203581057503e-07;2.152173985520936e-06
36;13;15;1246;144;0;16;3.8167821050763974e-07;2.853517007950918e-06;2.502167371401311e-07;4.519754265812936e-06;6.172616098022473e-07;6.769952816663627e-06
37;14;17;1083;144;0;14;3.335093092529523e-07;2.436310550031506e-06;2.1871001160876943e-07;3.850367174938324e-06;5.395374241887394e-07;5.767305602946187e-06
38;14;18;1535;144;0;20;4.7565330369413256e-07;3.381676402775351e-06;3.120473740564456e-07;5.3305487277973725e-06;7.697920876363032e-07;7.98440827791856e-06
39;15;17;591;144;0;8;1.8864597694858243e-07;1.1798873851680401e-06;1.2400166548356166e-07;1.8371956411741253e-06;3.059006704722428e-07;2.751859299034662e-06
40;8;15;217;144;0;3;7.038405233743134e-08;4.110893428830863e-07;4.631742488364784e-08;6.359351309349596e-07;1.1426081473344303e-07;9.525409076889553e-07
