id;Length;l_amps;n_amps;OSNRPOGGIO;OSNRPOGGIOEPSILON;OSNRCONSTRAINT
273;3040;38;7;14.991;14.991;15.013
274;3120;39;7;14.911;14.911;14.933
275;3200;40;7;14.832;14.832;14.855
276;3280;41;7;14.755;14.755;14.779
277;3360;42;7;14.679;14.679;14.703
278;3440;43;7;14.604;14.604;14.629
279;3520;44;7;14.531;14.531;14.556
280;3600;45;7;14.459;14.459;14.485
281;3680;46;7;14.388;14.388;14.414
282;3760;47;7;14.318;14.318;14.345
283;3840;48;7;14.25;14.25;14.276
284;3920;49;7;14.182;14.182;14.209
285;4000;50;7;14.115;14.115;14.143
286;560;7;8;18.294;18.294;18.294
287;640;8;8;18.126;18.126;18.127
288;720;9;8;17.964;17.964;17.965
289;800;10;8;17.808;17.807;17.81
290;880;11;8;17.657;17.656;17.66
291;960;12;8;17.511;17.511;17.514
292;1040;13;8;17.37;17.37;17.374
293;1120;14;8;17.233;17.233;17.238
294;1200;15;8;17.101;17.1;17.106
295;1280;16;8;16.972;16.971;16.978
296;1360;17;8;16.847;16.846;16.854
297;1440;18;8;16.725;16.725;16.733
298;1520;19;8;16.607;16.606;16.615
299;1600;20;8;16.492;16.491;16.501
300;1680;21;8;16.38;16.379;16.389
301;1760;22;8;16.27;16.27;16.28
302;1840;23;8;16.163;16.163;16.174
303;1920;24;8;16.059;16.058;16.07
304;2000;25;8;15.957;15.957;15.969
305;2080;26;8;15.858;15.857;15.87
306;2160;27;8;15.761;15.76;15.774
307;2240;28;8;15.665;15.665;15.679
308;2320;29;8;15.572;15.572;15.587
309;2400;30;8;15.481;15.48;15.496
310;2480;31;8;15.392;15.391;15.407
311;2560;32;8;15.304;15.304;15.32
312;2640;33;8;15.218;15.218;15.235
313;2720;34;8;15.134;15.134;15.151
314;2800;35;8;15.052;15.051;15.069
315;2880;36;8;14.97;14.97;14.989
316;2960;37;8;14.891;14.89;14.91
317;3040;38;8;14.813;14.812;14.832
318;3120;39;8;14.736;14.736;14.756
319;3200;40;8;14.66;14.66;14.681
320;3280;41;8;14.586;14.586;14.607
321;3360;42;8;14.513;14.513;14.534
322;3440;43;8;14.442;14.441;14.463
323;3520;44;8;14.371;14.371;14.393
324;3600;45;8;14.301;14.301;14.324
325;3680;46;8;14.233;14.233;14.256
326;3760;47;8;14.166;14.166;14.189
327;3840;48;8;14.099;14.099;14.123
328;3920;49;8;14.034;14.034;14.058
329;4000;50;8;13.97;13.97;13.994
330;640;8;9;17.764;17.764;17.764
331;720;9;9;17.614;17.614;17.615
332;800;10;9;17.47;17.47;17.471
333;880;11;9;17.33;17.33;17.332
334;960;12;9;17.195;17.195;17.198
335;1040;13;9;17.064;17.063;17.067
336;1120;14;9;16.936;16.936;16.94
337;1200;15;9;16.813;16.812;16.817
338;1280;16;9;16.692;16.692;16.697
339;1360;17;9;16.575;16.574;16.58
340;1440;18;9;16.461;16.46;16.466
341;1520;19;9;16.349;16.349;16.356
342;1600;20;9;16.241;16.24;16.248
343;1680;21;9;16.135;16.134;16.142
344;1760;22;9;16.031;16.031;16.04
345;1840;23;9;15.93;15.93;15.939
346;1920;24;9;15.832;15.831;15.841
347;2000;25;9;15.735;15.734;15.745
348;2080;26;9;15.64;15.64;15.651
349;2160;27;9;15.548;15.547;15.559
350;2240;28;9;15.457;15.457;15.469
351;2320;29;9;15.368;15.368;15.381
352;2400;30;9;15.281;15.281;15.294
353;2480;31;9;15.196;15.195;15.209
354;2560;32;9;15.112;15.112;15.126
355;2640;33;9;15.03;15.03;15.045
356;2720;34;9;14.95;14.949;14.965
357;2800;35;9;14.871;14.87;14.886
358;2880;36;9;14.793;14.792;14.809
359;2960;37;9;14.716;14.716;14.733
360;3040;38;9;14.641;14.641;14.658
361;3120;39;9;14.568;14.567;14.585
362;3200;40;9;14.495;14.495;14.513
363;3280;41;9;14.424;14.423;14.442
364;3360;42;9;14.353;14.353;14.372
365;3440;43;9;14.284;14.284;14.303
366;3520;44;9;14.216;14.216;14.236
367;3600;45;9;14.149;14.149;14.169
368;3680;46;9;14.083;14.083;14.103
369;3760;47;9;14.018;14.018;14.039
370;3840;48;9;13.954;13.954;13.975
371;3920;49;9;13.891;13.891;13.912
372;4000;50;9;13.829;13.828;13.851
373;720;9;10;17.291;17.291;17.291
374;800;10;10;17.157;17.157;17.158
375;880;11;10;17.027;17.027;17.028
376;960;12;10;16.9;16.9;16.902
377;1040;13;10;16.778;16.777;16.78
378;1120;14;10;16.658;16.658;16.661
379;1200;15;10;16.542;16.542;16.545
380;1280;16;10;16.429;16.428;16.433
381;1360;17;10;16.319;16.318;16.323
382;1440;18;10;16.211;16.21;16.216
383;1520;19;10;16.106;16.105;16.111
384;1600;20;10;16.003;16.002;16.009
385;1680;21;10;15.903;15.902;15.909
386;1760;22;10;15.805;15.804;15.812
387;1840;23;10;15.709;15.708;15.716
388;1920;24;10;15.615;15.614;15.623
389;2000;25;10;15.523;15.522;15.531
390;2080;26;10;15.433;15.432;15.442
391;2160;27;10;15.345;15.344;15.354
392;2240;28;10;15.258;15.258;15.268
393;2320;29;10;15.173;15.173;15.184
394;2400;30;10;15.09;15.09;15.101
395;2480;31;10;15.009;15.008;15.02
396;2560;32;10;14.929;14.928;14.941
397;2640;33;10;14.85;14.849;14.862
398;2720;34;10;14.773;14.772;14.786
399;2800;35;10;14.697;14.696;14.71
400;2880;36;10;14.622;14.621;14.636
401;2960;37;10;14.549;14.548;14.563
402;3040;38;10;14.476;14.476;14.491
403;3120;39;10;14.405;14.405;14.421
404;3200;40;10;14.335;14.335;14.351
405;3280;41;10;14.267;14.266;14.283
406;3360;42;10;14.199;14.198;14.215
407;3440;43;10;14.132;14.132;14.149
408;3520;44;10;14.066;14.066;14.084
409;3600;45;10;14.002;14.001;14.02
410;3680;46;10;13.938;13.938;13.956
411;3760;47;10;13.875;13.875;13.894
412;3840;48;10;13.813;13.813;13.832
413;3920;49;10;13.752;13.752;13.771
414;4000;50;10;13.692;13.691;13.711
415;800;10;11;16.865;16.865;16.865
416;880;11;11;16.743;16.743;16.744
417;960;12;11;16.625;16.624;16.626
418;1040;13;11;16.509;16.509;16.511
419;1120;14;11;16.397;16.397;16.399
420;1200;15;11;16.287;16.287;16.29
421;1280;16;11;16.181;16.18;16.184
422;1360;17;11;16.076;16.076;16.08
423;1440;18;11;15.975;15.974;15.978
424;1520;19;11;15.875;15.875;15.879
425;1600;20;11;15.778;15.777;15.782
426;1680;21;11;15.682;15.682;15.688
427;1760;22;11;15.589;15.589;15.595
428;1840;23;11;15.498;15.497;15.504
429;1920;24;11;15.408;15.408;15.415
430;2000;25;11;15.321;15.32;15.328
431;2080;26;11;15.235;15.234;15.243
432;2160;27;11;15.151;15.15;15.159
433;2240;28;11;15.068;15.067;15.077
434;2320;29;11;14.987;14.986;14.996
435;2400;30;11;14.907;14.907;14.917
436;2480;31;11;14.829;14.828;14.839
437;2560;32;11;14.752;14.751;14.763
438;2640;33;11;14.676;14.676;14.687
439;2720;34;11;14.602;14.602;14.614
440;2800;35;11;14.529;14.529;14.541
441;2880;36;11;14.457;14.457;14.47
442;2960;37;11;14.387;14.386;14.399
443;3040;38;11;14.317;14.317;14.33
444;3120;39;11;14.249;14.248;14.262
445;3200;40;11;14.181;14.181;14.195
446;3280;41;11;14.115;14.114;14.129
447;3360;42;11;14.049;14.049;14.064
448;3440;43;11;13.985;13.984;14.0
449;3520;44;11;13.922;13.921;13.937
450;3600;45;11;13.859;13.858;13.875
451;3680;46;11;13.797;13.797;13.814
452;3760;47;11;13.736;13.736;13.753
453;3840;48;11;13.676;13.676;13.694
454;3920;49;11;13.617;13.617;13.635
455;4000;50;11;13.559;13.558;13.577
456;880;11;12;16.477;16.477;16.477
457;960;12;12;16.365;16.365;16.366
458;1040;13;12;16.257;16.256;16.258
459;1120;14;12;16.15;16.15;16.152
460;1200;15;12;16.047;16.047;16.049
461;1280;16;12;15.946;15.946;15.948
462;1360;17;12;15.847;15.847;15.85
463;1440;18;12;15.75;15.75;15.754
464;1520;19;12;15.656;15.655;15.659
465;1600;20;12;15.563;15.563;15.567
466;1680;21;12;15.473;15.472;15.477
467;1760;22;12;15.384;15.383;15.389
468;1840;23;12;15.297;15.296;15.302
469;1920;24;12;15.211;15.211;15.217
470;2000;25;12;15.128;15.127;15.134
471;2080;26;12;15.045;15.045;15.052
472;2160;27;12;14.965;14.964;14.972
473;2240;28;12;14.885;14.885;14.893
474;2320;29;12;14.808;14.807;14.816
475;2400;30;12;14.731;14.731;14.74
476;2480;31;12;14.656;14.656;14.665
477;2560;32;12;14.582;14.582;14.591
478;2640;33;12;14.51;14.509;14.519
479;2720;34;12;14.438;14.438;14.448
480;2800;35;12;14.368;14.367;14.378
481;2880;36;12;14.299;14.298;14.31
482;2960;37;12;14.231;14.23;14.242
483;3040;38;12;14.163;14.163;14.175
484;3120;39;12;14.097;14.097;14.109
485;3200;40;12;14.032;14.032;14.045
486;3280;41;12;13.968;13.968;13.981
487;3360;42;12;13.905;13.904;13.918
488;3440;43;12;13.843;13.842;13.856
489;3520;44;12;13.781;13.781;13.795
490;3600;45;12;13.721;13.72;13.735
491;3680;46;12;13.661;13.66;13.676
492;3760;47;12;13.602;13.601;13.617
493;3840;48;12;13.544;13.543;13.559
494;3920;49;12;13.486;13.486;13.502
495;4000;50;12;13.43;13.429;13.446
496;960;12;13;16.12;16.12;16.12
497;1040;13;13;16.018;16.018;16.018
498;1120;14;13;15.917;15.917;15.918
499;1200;15;13;15.819;15.819;15.82
500;1280;16;13;15.723;15.723;15.725
501;1360;17;13;15.629;15.629;15.631
502;1440;18;13;15.537;15.537;15.54
503;1520;19;13;15.447;15.447;15.45
504;1600;20;13;15.359;15.358;15.362
505;1680;21;13;15.272;15.272;15.276
506;1760;22;13;15.188;15.187;15.192
507;1840;23;13;15.104;15.104;15.109
508;1920;24;13;15.023;15.022;15.028
509;2000;25;13;14.943;14.942;14.948
510;2080;26;13;14.864;14.863;14.869
511;2160;27;13;14.786;14.786;14.792
512;2240;28;13;14.71;14.71;14.717
513;2320;29;13;14.636;14.635;14.643
514;2400;30;13;14.562;14.562;14.569
515;2480;31;13;14.49;14.489;14.498
516;2560;32;13;14.419;14.418;14.427
517;2640;33;13;14.349;14.348;14.357
518;2720;34;13;14.28;14.279;14.289
519;2800;35;13;14.212;14.212;14.222
520;2880;36;13;14.146;14.145;14.155
521;2960;37;13;14.08;14.079;14.09
522;3040;38;13;14.015;14.014;14.025
523;3120;39;13;13.951;13.95;13.962
524;3200;40;13;13.888;13.888;13.899
525;3280;41;13;13.826;13.826;13.838
526;3360;42;13;13.765;13.764;13.777
527;3440;43;13;13.705;13.704;13.717
528;3520;44;13;13.645;13.645;13.658
529;3600;45;13;13.586;13.586;13.599
530;3680;46;13;13.529;13.528;13.542
531;3760;47;13;13.471;13.471;13.485
532;3840;48;13;13.415;13.414;13.429
533;3920;49;13;13.359;13.359;13.374
534;4000;50;13;13.304;13.304;13.319
535;1040;13;14;15.791;15.791;15.791
536;1120;14;14;15.696;15.696;15.696
537;1200;15;14;15.602;15.602;15.603
538;1280;16;14;15.511;15.511;15.512
539;1360;17;14;15.422;15.421;15.423
540;1440;18;14;15.334;15.334;15.336
541;1520;19;14;15.248;15.248;15.25
542;1600;20;14;15.164;15.163;15.166
543;1680;21;14;15.081;15.081;15.084
544;1760;22;14;15.0;14.999;15.003
545;1840;23;14;14.92;14.92;14.924
546;1920;24;14;14.842;14.841;14.846
547;2000;25;14;14.765;14.765;14.769
548;2080;26;14;14.69;14.689;14.694
549;2160;27;14;14.615;14.615;14.62
550;2240;28;14;14.542;14.541;14.548
551;2320;29;14;14.47;14.47;14.476
552;2400;30;14;14.399;14.399;14.406
553;2480;31;14;14.33;14.329;14.337
554;2560;32;14;14.261;14.261;14.268
555;2640;33;14;14.194;14.193;14.201
556;2720;34;14;14.127;14.127;14.135
557;2800;35;14;14.062;14.061;14.07
558;2880;36;14;13.997;13.997;14.006
559;2960;37;14;13.934;13.933;13.943
560;3040;38;14;13.871;13.871;13.881
561;3120;39;14;13.81;13.809;13.819
562;3200;40;14;13.749;13.748;13.759
563;3280;41;14;13.689;13.688;13.699
564;3360;42;14;13.629;13.629;13.64
565;3440;43;14;13.571;13.57;13.582
566;3520;44;14;13.513;13.513;13.525
567;3600;45;14;13.456;13.456;13.468
568;3680;46;14;13.4;13.399;13.412
569;3760;47;14;13.345;13.344;13.357
570;3840;48;14;13.29;13.289;13.303
571;3920;49;14;13.236;13.235;13.249
572;4000;50;14;13.182;13.182;13.196
573;1120;14;15;15.485;15.485;15.485
574;1200;15;15;15.396;15.396;15.397
575;1280;16;15;15.309;15.309;15.31
576;1360;17;15;15.224;15.223;15.225
577;1440;18;15;15.14;15.14;15.141
578;1520;19;15;15.057;15.057;15.059
579;1600;20;15;14.977;14.977;14.979
580;1680;21;15;14.898;14.897;14.9
581;1760;22;15;14.82;14.819;14.823
582;1840;23;15;14.743;14.743;14.747
583;1920;24;15;14.668;14.668;14.672
584;2000;25;15;14.594;14.594;14.598
585;2080;26;15;14.522;14.521;14.526
586;2160;27;15;14.45;14.45;14.455
587;2240;28;15;14.38;14.379;14.385
588;2320;29;15;14.311;14.31;14.316
589;2400;30;15;14.242;14.242;14.248
590;2480;31;15;14.175;14.175;14.181
591;2560;32;15;14.109;14.109;14.115
592;2640;33;15;14.044;14.043;14.051
593;2720;34;15;13.98;13.979;13.987
594;2800;35;15;13.917;13.916;13.924
595;2880;36;15;13.854;13.854;13.862
596;2960;37;15;13.793;13.792;13.801
597;3040;38;15;13.732;13.732;13.74
598;3120;39;15;13.672;13.672;13.681
599;3200;40;15;13.613;13.613;13.622
600;3280;41;15;13.555;13.555;13.565
601;3360;42;15;13.498;13.497;13.507
602;3440;43;15;13.441;13.44;13.451
603;3520;44;15;13.385;13.384;13.395
604;3600;45;15;13.33;13.329;13.34
605;3680;46;15;13.275;13.275;13.286
606;3760;47;15;13.221;13.221;13.233
607;3840;48;15;13.168;13.167;13.18
608;3920;49;15;13.115;13.115;13.127
609;4000;50;15;13.063;13.063;13.076
610;1200;15;16;15.199;15.199;15.199
611;1280;16;16;15.116;15.116;15.116
612;1360;17;16;15.034;15.034;15.035
613;1440;18;16;14.954;14.954;14.955
614;1520;19;16;14.875;14.875;14.877
615;1600;20;16;14.798;14.797;14.799
616;1680;21;16;14.722;14.721;14.724
617;1760;22;16;14.647;14.647;14.649
618;1840;23;16;14.573;14.573;14.576
619;1920;24;16;14.501;14.501;14.504
620;2000;25;16;14.43;14.43;14.433
621;2080;26;16;14.36;14.36;14.364
622;2160;27;16;14.291;14.291;14.295
623;2240;28;16;14.223;14.223;14.228
624;2320;29;16;14.157;14.156;14.161
625;2400;30;16;14.091;14.09;14.096
626;2480;31;16;14.026;14.026;14.031
627;2560;32;16;13.962;13.962;13.968
628;2640;33;16;13.899;13.899;13.905
629;2720;34;16;13.837;13.837;13.843
630;2800;35;16;13.776;13.775;13.782
631;2880;36;16;13.716;13.715;13.722
632;2960;37;16;13.656;13.655;13.663
633;3040;38;16;13.597;13.597;13.605
634;3120;39;16;13.539;13.539;13.547
635;3200;40;16;13.482;13.481;13.49
636;3280;41;16;13.426;13.425;13.434
637;3360;42;16;13.37;13.369;13.379
638;3440;43;16;13.315;13.314;13.324
639;3520;44;16;13.261;13.26;13.27
640;3600;45;16;13.207;13.206;13.216
641;3680;46;16;13.154;13.153;13.164
642;3760;47;16;13.101;13.101;13.112
643;3840;48;16;13.05;13.049;13.06
644;3920;49;16;12.998;12.998;13.009
645;4000;50;16;12.948;12.947;12.959
646;1280;16;17;14.931;14.931;14.931
647;1360;17;17;14.853;14.853;14.853
648;1440;18;17;14.776;14.776;14.776
649;1520;19;17;14.7;14.7;14.701
650;1600;20;17;14.626;14.625;14.627
651;1680;21;17;14.552;14.552;14.554
652;1760;22;17;14.481;14.48;14.483
653;1840;23;17;14.41;14.41;14.412
654;1920;24;17;14.34;14.34;14.343
655;2000;25;17;14.272;14.271;14.275
656;2080;26;17;14.204;14.204;14.207
657;2160;27;17;14.138;14.137;14.141
658;2240;28;17;14.072;14.072;14.076
659;2320;29;17;14.008;14.007;14.012
660;2400;30;17;13.944;13.944;13.949
661;2480;31;17;13.882;13.881;13.886
662;2560;32;17;13.82;13.82;13.825
663;2640;33;17;13.759;13.759;13.764
664;2720;34;17;13.699;13.698;13.704
665;2800;35;17;13.64;13.639;13.645
