id;Length;l_amps;n_amps;OSNRPOGGIO;OSNRPOGGIOEPSILON;OSNRCONSTRAINT
125;2240;28;4;19.621;19.621;19.65
126;2320;29;4;19.505;19.505;19.535
127;2400;30;4;19.392;19.392;19.423
128;2480;31;4;19.282;19.282;19.313
129;2560;32;4;19.174;19.175;19.207
130;2640;33;4;19.069;19.07;19.102
131;2720;34;4;18.967;18.968;19.001
132;2800;35;4;18.867;18.868;18.901
133;2880;36;4;18.769;18.77;18.804
134;2960;37;4;18.674;18.674;18.709
135;3040;38;4;18.58;18.581;18.616
136;3120;39;4;18.488;18.489;18.525
137;3200;40;4;18.399;18.399;18.436
138;3280;41;4;18.311;18.311;18.349
139;3360;42;4;18.224;18.225;18.263
140;3440;43;4;18.14;18.141;18.179
141;3520;44;4;18.057;18.058;18.097
142;3600;45;4;17.976;17.977;18.016
143;3680;46;4;17.896;17.897;17.936
144;3760;47;4;17.817;17.818;17.858
145;3840;48;4;17.74;17.741;17.782
146;3920;49;4;17.664;17.666;17.707
147;4000;50;4;17.59;17.591;17.633
148;320;4;5;23.449;23.449;23.449
149;400;5;5;23.177;23.177;23.178
150;480;6;5;22.92;22.92;22.923
151;560;7;5;22.678;22.678;22.682
152;640;8;5;22.449;22.448;22.453
153;720;9;5;22.231;22.23;22.236
154;800;10;5;22.023;22.022;22.029
155;880;11;5;21.824;21.824;21.832
156;960;12;5;21.635;21.634;21.643
157;1040;13;5;21.452;21.452;21.463
158;1120;14;5;21.278;21.277;21.289
159;1200;15;5;21.11;21.109;21.122
160;1280;16;5;20.948;20.947;20.961
161;1360;17;5;20.792;20.791;20.806
162;1440;18;5;20.641;20.641;20.656
163;1520;19;5;20.496;20.495;20.512
164;1600;20;5;20.355;20.354;20.372
165;1680;21;5;20.218;20.218;20.236
166;1760;22;5;20.086;20.085;20.104
167;1840;23;5;19.957;19.957;19.977
168;1920;24;5;19.832;19.832;19.853
169;2000;25;5;19.711;19.711;19.732
170;2080;26;5;19.593;19.592;19.615
171;2160;27;5;19.478;19.477;19.501
172;2240;28;5;19.366;19.365;19.389
173;2320;29;5;19.256;19.256;19.281
174;2400;30;5;19.15;19.15;19.175
175;2480;31;5;19.046;19.046;19.071
176;2560;32;5;18.944;18.944;18.97
177;2640;33;5;18.845;18.845;18.872
178;2720;34;5;18.747;18.748;18.775
179;2800;35;5;18.652;18.653;18.681
180;2880;36;5;18.56;18.56;18.588
181;2960;37;5;18.468;18.469;18.498
182;3040;38;5;18.379;18.379;18.409
183;3120;39;5;18.292;18.292;18.323
184;3200;40;5;18.206;18.206;18.237
185;3280;41;5;18.122;18.122;18.154
186;3360;42;5;18.04;18.04;18.072
187;3440;43;5;17.959;17.959;17.992
188;3520;44;5;17.879;17.88;17.913
189;3600;45;5;17.801;17.802;17.835
190;3680;46;5;17.724;17.725;17.759
191;3760;47;5;17.649;17.65;17.684
192;3840;48;5;17.575;17.576;17.61
193;3920;49;5;17.502;17.503;17.538
194;4000;50;5;17.431;17.431;17.467
195;400;5;6;22.611;22.611;22.611
196;480;6;6;22.385;22.385;22.386
197;560;7;6;22.171;22.17;22.173
198;640;8;6;21.966;21.966;21.969
199;720;9;6;21.77;21.77;21.774
200;800;10;6;21.583;21.583;21.588
201;880;11;6;21.404;21.403;21.409
202;960;12;6;21.231;21.231;21.238
203;1040;13;6;21.065;21.065;21.073
204;1120;14;6;20.905;20.905;20.914
205;1200;15;6;20.751;20.751;20.76
206;1280;16;6;20.602;20.601;20.612
207;1360;17;6;20.458;20.457;20.469
208;1440;18;6;20.318;20.318;20.33
209;1520;19;6;20.183;20.183;20.196
210;1600;20;6;20.052;20.051;20.065
211;1680;21;6;19.925;19.924;19.939
212;1760;22;6;19.801;19.8;19.816
213;1840;23;6;19.68;19.68;19.696
214;1920;24;6;19.563;19.563;19.58
215;2000;25;6;19.449;19.449;19.466
216;2080;26;6;19.338;19.338;19.356
217;2160;27;6;19.23;19.229;19.248
218;2240;28;6;19.124;19.123;19.143
219;2320;29;6;19.02;19.02;19.041
220;2400;30;6;18.92;18.919;18.94
221;2480;31;6;18.821;18.821;18.842
222;2560;32;6;18.724;18.724;18.746
223;2640;33;6;18.63;18.63;18.653
224;2720;34;6;18.538;18.537;18.561
225;2800;35;6;18.447;18.447;18.471
226;2880;36;6;18.358;18.358;18.383
227;2960;37;6;18.272;18.271;18.297
228;3040;38;6;18.186;18.186;18.212
229;3120;39;6;18.103;18.103;18.129
230;3200;40;6;18.021;18.021;18.048
231;3280;41;6;17.94;17.94;17.968
232;3360;42;6;17.861;17.861;17.889
233;3440;43;6;17.784;17.784;17.812
234;3520;44;6;17.707;17.708;17.736
235;3600;45;6;17.632;17.633;17.662
236;3680;46;6;17.559;17.559;17.588
237;3760;47;6;17.486;17.486;17.516
238;3840;48;6;17.415;17.415;17.446
239;3920;49;6;17.345;17.345;17.376
240;4000;50;6;17.276;17.276;17.307
241;480;6;7;21.909;21.909;21.909
242;560;7;7;21.716;21.716;21.717
243;640;8;7;21.531;21.531;21.533
244;720;9;7;21.354;21.354;21.357
245;800;10;7;21.184;21.183;21.187
246;880;11;7;21.02;21.02;21.024
247;960;12;7;20.862;20.862;20.867
248;1040;13;7;20.709;20.709;20.715
249;1120;14;7;20.562;20.561;20.568
250;1200;15;7;20.419;20.419;20.426
251;1280;16;7;20.281;20.281;20.289
252;1360;17;7;20.147;20.147;20.156
253;1440;18;7;20.017;20.017;20.027
254;1520;19;7;19.891;19.891;19.901
255;1600;20;7;19.768;19.768;19.779
256;1680;21;7;19.649;19.649;19.661
257;1760;22;7;19.533;19.532;19.545
258;1840;23;7;19.42;19.419;19.433
259;1920;24;7;19.31;19.309;19.323
260;2000;25;7;19.202;19.201;19.216
261;2080;26;7;19.097;19.096;19.112
262;2160;27;7;18.994;18.994;19.01
263;2240;28;7;18.894;18.894;18.91
264;2320;29;7;18.796;18.796;18.813
265;2400;30;7;18.7;18.7;18.718
266;2480;31;7;18.607;18.606;18.625
267;2560;32;7;18.515;18.514;18.533
268;2640;33;7;18.425;18.424;18.444
269;2720;34;7;18.337;18.336;18.357
270;2800;35;7;18.25;18.25;18.271
271;2880;36;7;18.166;18.165;18.187
272;2960;37;7;18.083;18.082;18.104
273;3040;38;7;18.001;18.001;18.023
274;3120;39;7;17.921;17.921;17.944
275;3200;40;7;17.842;17.842;17.866
276;3280;41;7;17.765;17.765;17.789
277;3360;42;7;17.689;17.689;17.713
278;3440;43;7;17.615;17.615;17.639
279;3520;44;7;17.541;17.541;17.567
280;3600;45;7;17.469;17.469;17.495
281;3680;46;7;17.398;17.398;17.424
282;3760;47;7;17.329;17.329;17.355
283;3840;48;7;17.26;17.26;17.287
284;3920;49;7;17.192;17.192;17.22
285;4000;50;7;17.126;17.126;17.153
286;560;7;8;21.305;21.305;21.305
287;640;8;8;21.136;21.136;21.137
288;720;9;8;20.974;20.974;20.976
289;800;10;8;20.818;20.818;20.82
290;880;11;8;20.667;20.667;20.67
291;960;12;8;20.521;20.521;20.525
292;1040;13;8;20.38;20.38;20.384
293;1120;14;8;20.244;20.243;20.248
294;1200;15;8;20.111;20.11;20.116
295;1280;16;8;19.982;19.982;19.988
296;1360;17;8;19.857;19.857;19.864
297;1440;18;8;19.736;19.735;19.743
298;1520;19;8;19.617;19.617;19.625
299;1600;20;8;19.502;19.502;19.511
300;1680;21;8;19.39;19.389;19.399
301;1760;22;8;19.28;19.28;19.29
302;1840;23;8;19.174;19.173;19.184
303;1920;24;8;19.069;19.069;19.081
304;2000;25;8;18.968;18.967;18.98
305;2080;26;8;18.868;18.868;18.881
306;2160;27;8;18.771;18.77;18.784
307;2240;28;8;18.676;18.675;18.689
308;2320;29;8;18.583;18.582;18.597
309;2400;30;8;18.491;18.491;18.506
310;2480;31;8;18.402;18.401;18.417
311;2560;32;8;18.314;18.314;18.33
312;2640;33;8;18.229;18.228;18.245
313;2720;34;8;18.144;18.144;18.162
314;2800;35;8;18.062;18.061;18.079
315;2880;36;8;17.981;17.98;17.999
316;2960;37;8;17.901;17.901;17.92
317;3040;38;8;17.823;17.823;17.842
318;3120;39;8;17.746;17.746;17.766
319;3200;40;8;17.671;17.67;17.691
320;3280;41;8;17.597;17.596;17.617
321;3360;42;8;17.524;17.523;17.545
322;3440;43;8;17.452;17.452;17.473
323;3520;44;8;17.381;17.381;17.403
324;3600;45;8;17.312;17.312;17.334
325;3680;46;8;17.243;17.243;17.266
326;3760;47;8;17.176;17.176;17.199
327;3840;48;8;17.11;17.11;17.134
328;3920;49;8;17.044;17.044;17.069
329;4000;50;8;16.98;16.98;17.005
330;640;8;9;20.774;20.774;20.774
331;720;9;9;20.625;20.625;20.625
332;800;10;9;20.48;20.48;20.482
333;880;11;9;20.341;20.34;20.343
334;960;12;9;20.205;20.205;20.208
335;1040;13;9;20.074;20.074;20.077
336;1120;14;9;19.947;19.946;19.95
337;1200;15;9;19.823;19.822;19.827
338;1280;16;9;19.702;19.702;19.707
339;1360;17;9;19.585;19.585;19.59
340;1440;18;9;19.471;19.47;19.477
341;1520;19;9;19.359;19.359;19.366
342;1600;20;9;19.251;19.25;19.258
343;1680;21;9;19.145;19.144;19.153
344;1760;22;9;19.042;19.041;19.05
345;1840;23;9;18.941;18.94;18.949
346;1920;24;9;18.842;18.841;18.851
347;2000;25;9;18.745;18.745;18.755
348;2080;26;9;18.651;18.65;18.661
349;2160;27;9;18.558;18.557;18.569
350;2240;28;9;18.467;18.467;18.479
351;2320;29;9;18.379;18.378;18.391
352;2400;30;9;18.292;18.291;18.304
353;2480;31;9;18.206;18.206;18.22
354;2560;32;9;18.123;18.122;18.137
355;2640;33;9;18.041;18.04;18.055
356;2720;34;9;17.96;17.959;17.975
357;2800;35;9;17.881;17.88;17.896
358;2880;36;9;17.803;17.803;17.819
359;2960;37;9;17.727;17.726;17.743
360;3040;38;9;17.652;17.651;17.668
361;3120;39;9;17.578;17.577;17.595
362;3200;40;9;17.505;17.505;17.523
363;3280;41;9;17.434;17.433;17.452
364;3360;42;9;17.364;17.363;17.382
365;3440;43;9;17.294;17.294;17.314
366;3520;44;9;17.226;17.226;17.246
367;3600;45;9;17.159;17.159;17.179
368;3680;46;9;17.093;17.093;17.114
369;3760;47;9;17.028;17.028;17.049
370;3840;48;9;16.964;16.964;16.986
371;3920;49;9;16.901;16.901;16.923
372;4000;50;9;16.839;16.839;16.861
373;720;9;10;20.301;20.301;20.301
374;800;10;10;20.167;20.167;20.168
375;880;11;10;20.037;20.037;20.038
376;960;12;10;19.911;19.911;19.913
377;1040;13;10;19.788;19.788;19.79
378;1120;14;10;19.669;19.668;19.671
379;1200;15;10;19.552;19.552;19.556
380;1280;16;10;19.439;19.439;19.443
381;1360;17;10;19.329;19.328;19.333
382;1440;18;10;19.221;19.221;19.226
383;1520;19;10;19.116;19.116;19.121
384;1600;20;10;19.013;19.013;19.019
385;1680;21;10;18.913;18.912;18.919
386;1760;22;10;18.815;18.814;18.822
387;1840;23;10;18.719;18.718;18.726
388;1920;24;10;18.625;18.625;18.633
389;2000;25;10;18.533;18.533;18.542
390;2080;26;10;18.443;18.443;18.452
391;2160;27;10;18.355;18.355;18.365
392;2240;28;10;18.269;18.268;18.279
393;2320;29;10;18.184;18.183;18.194
394;2400;30;10;18.101;18.1;18.112
395;2480;31;10;18.019;18.018;18.031
396;2560;32;10;17.939;17.938;17.951
397;2640;33;10;17.86;17.86;17.873
398;2720;34;10;17.783;17.782;17.796
399;2800;35;10;17.707;17.706;17.72
400;2880;36;10;17.632;17.632;17.646
401;2960;37;10;17.559;17.558;17.573
402;3040;38;10;17.487;17.486;17.501
403;3120;39;10;17.416;17.415;17.431
404;3200;40;10;17.346;17.345;17.361
405;3280;41;10;17.277;17.276;17.293
406;3360;42;10;17.209;17.209;17.226
407;3440;43;10;17.142;17.142;17.159
408;3520;44;10;17.077;17.076;17.094
409;3600;45;10;17.012;17.012;17.03
410;3680;46;10;16.948;16.948;16.966
411;3760;47;10;16.885;16.885;16.904
412;3840;48;10;16.823;16.823;16.842
413;3920;49;10;16.762;16.762;16.782
414;4000;50;10;16.702;16.702;16.722
415;800;10;11;19.875;19.875;19.875
416;880;11;11;19.753;19.753;19.754
417;960;12;11;19.635;19.635;19.636
418;1040;13;11;19.52;19.519;19.521
419;1120;14;11;19.407;19.407;19.409
420;1200;15;11;19.298;19.297;19.3
421;1280;16;11;19.191;19.191;19.194
422;1360;17;11;19.087;19.086;19.09
423;1440;18;11;18.985;18.984;18.989
424;1520;19;11;18.885;18.885;18.89
425;1600;20;11;18.788;18.788;18.793
426;1680;21;11;18.693;18.692;18.698
427;1760;22;11;18.6;18.599;18.605
428;1840;23;11;18.508;18.508;18.514
429;1920;24;11;18.419;18.418;18.426
430;2000;25;11;18.331;18.33;18.338
431;2080;26;11;18.245;18.245;18.253
432;2160;27;11;18.161;18.16;18.169
433;2240;28;11;18.078;18.078;18.087
434;2320;29;11;17.997;17.997;18.006
435;2400;30;11;17.918;17.917;17.927
436;2480;31;11;17.839;17.839;17.849
437;2560;32;11;17.762;17.762;17.773
438;2640;33;11;17.687;17.686;17.698
439;2720;34;11;17.612;17.612;17.624
440;2800;35;11;17.539;17.539;17.551
441;2880;36;11;17.468;17.467;17.48
442;2960;37;11;17.397;17.396;17.41
443;3040;38;11;17.327;17.327;17.341
444;3120;39;11;17.259;17.258;17.273
445;3200;40;11;17.192;17.191;17.206
446;3280;41;11;17.125;17.125;17.14
447;3360;42;11;17.06;17.059;17.075
448;3440;43;11;16.995;16.995;17.011
449;3520;44;11;16.932;16.931;16.947
450;3600;45;11;16.869;16.869;16.885
451;3680;46;11;16.808;16.807;16.824
452;3760;47;11;16.747;16.746;16.763
453;3840;48;11;16.687;16.686;16.704
454;3920;49;11;16.628;16.627;16.645
455;4000;50;11;16.569;16.569;16.587
456;880;11;12;19.487;19.487;19.487
457;960;12;12;19.376;19.375;19.376
458;1040;13;12;19.267;19.267;19.268
459;1120;14;12;19.161;19.161;19.162
460;1200;15;12;19.057;19.057;19.059
461;1280;16;12;18.956;18.956;18.958
462;1360;17;12;18.857;18.857;18.86
463;1440;18;12;18.761;18.76;18.764
464;1520;19;12;18.666;18.666;18.67
465;1600;20;12;18.574;18.573;18.578
466;1680;21;12;18.483;18.483;18.487
467;1760;22;12;18.394;18.394;18.399
468;1840;23;12;18.307;18.307;18.312
469;1920;24;12;18.222;18.221;18.227
470;2000;25;12;18.138;18.137;18.144
471;2080;26;12;18.056;18.055;18.062
472;2160;27;12;17.975;17.974;17.982
473;2240;28;12;17.896;17.895;17.903
474;2320;29;12;17.818;17.817;17.826
475;2400;30;12;17.742;17.741;17.75
476;2480;31;12;17.666;17.666;17.675
477;2560;32;12;17.593;17.592;17.602
478;2640;33;12;17.52;17.519;17.53
479;2720;34;12;17.449;17.448;17.459
480;2800;35;12;17.378;17.378;17.389
481;2880;36;12;17.309;17.308;17.32
482;2960;37;12;17.241;17.24;17.252
483;3040;38;12;17.174;17.173;17.185
484;3120;39;12;17.108;17.107;17.12
485;3200;40;12;17.043;17.042;17.055
486;3280;41;12;16.978;16.978;16.991
487;3360;42;12;16.915;16.915;16.929
488;3440;43;12;16.853;16.852;16.867
489;3520;44;12;16.792;16.791;16.806
490;3600;45;12;16.731;16.73;16.745
491;3680;46;12;16.671;16.671;16.686
492;3760;47;12;16.612;16.612;16.627
493;3840;48;12;16.554;16.554;16.57
494;3920;49;12;16.497;16.496;16.512
495;4000;50;12;16.44;16.439;16.456
496;960;12;13;19.131;19.131;19.131
497;1040;13;13;19.028;19.028;19.028
498;1120;14;13;18.928;18.927;18.928
499;1200;15;13;18.829;18.829;18.831
500;1280;16;13;18.733;18.733;18.735
501;1360;17;13;18.639;18.639;18.642
502;1440;18;13;18.547;18.547;18.55
503;1520;19;13;18.457;18.457;18.46
504;1600;20;13;18.369;18.369;18.373
505;1680;21;13;18.283;18.282;18.286
506;1760;22;13;18.198;18.197;18.202
507;1840;23;13;18.115;18.114;18.119
508;1920;24;13;18.033;18.033;18.038
509;2000;25;13;17.953;17.952;17.958
510;2080;26;13;17.874;17.874;17.88
511;2160;27;13;17.797;17.796;17.803
512;2240;28;13;17.721;17.72;17.727
513;2320;29;13;17.646;17.645;17.653
514;2400;30;13;17.572;17.572;17.58
515;2480;31;13;17.5;17.5;17.508
516;2560;32;13;17.429;17.429;17.437
517;2640;33;13;17.359;17.359;17.368
518;2720;34;13;17.29;17.29;17.299
519;2800;35;13;17.223;17.222;17.232
520;2880;36;13;17.156;17.155;17.165
521;2960;37;13;17.09;17.089;17.1
522;3040;38;13;17.025;17.025;17.036
523;3120;39;13;16.961;16.961;16.972
524;3200;40;13;16.898;16.898;16.91
525;3280;41;13;16.836;16.836;16.848
526;3360;42;13;16.775;16.775;16.787
527;3440;43;13;16.715;16.714;16.727
528;3520;44;13;16.655;16.655;16.668
529;3600;45;13;16.597;16.596;16.61
530;3680;46;13;16.539;16.538;16.552
531;3760;47;13;16.482;16.481;16.495
532;3840;48;13;16.425;16.425;16.439
533;3920;49;13;16.37;16.369;16.384
534;4000;50;13;16.315;16.314;16.329
535;1040;13;14;18.802;18.802;18.802
536;1120;14;14;18.706;18.706;18.707
537;1200;15;14;18.613;18.613;18.614
538;1280;16;14;18.521;18.521;18.523
539;1360;17;14;18.432;18.432;18.434
540;1440;18;14;18.344;18.344;18.346
541;1520;19;14;18.258;18.258;18.261
542;1600;20;14;18.174;18.174;18.177
543;1680;21;14;18.091;18.091;18.094
544;1760;22;14;18.01;18.01;18.014
545;1840;23;14;17.93;17.93;17.934
546;1920;24;14;17.852;17.852;17.856
547;2000;25;14;17.775;17.775;17.78
548;2080;26;14;17.7;17.699;17.705
549;2160;27;14;17.625;17.625;17.631
550;2240;28;14;17.552;17.552;17.558
551;2320;29;14;17.48;17.48;17.486
552;2400;30;14;17.41;17.409;17.416
553;2480;31;14;17.34;17.339;17.347
554;2560;32;14;17.272;17.271;17.279
555;2640;33;14;17.204;17.203;17.212
556;2720;34;14;17.138;17.137;17.146
557;2800;35;14;17.072;17.072;17.08
558;2880;36;14;17.008;17.007;17.016
559;2960;37;14;16.944;16.944;16.953
560;3040;38;14;16.882;16.881;16.891
561;3120;39;14;16.82;16.819;16.83
562;3200;40;14;16.759;16.758;16.769
563;3280;41;14;16.699;16.698;16.709
564;3360;42;14;16.64;16.639;16.65
565;3440;43;14;16.581;16.581;16.592
566;3520;44;14;16.523;16.523;16.535
567;3600;45;14;16.467;16.466;16.478
568;3680;46;14;16.41;16.41;16.422
569;3760;47;14;16.355;16.354;16.367
570;3840;48;14;16.3;16.299;16.313
571;3920;49;14;16.246;16.245;16.259
572;4000;50;14;16.192;16.192;16.206
573;1120;14;15;18.496;18.496;18.496
574;1200;15;15;18.407;18.406;18.407
575;1280;16;15;18.319;18.319;18.32
576;1360;17;15;18.234;18.234;18.235
577;1440;18;15;18.15;18.15;18.152
578;1520;19;15;18.068;18.068;18.07
579;1600;20;15;17.987;17.987;17.989
580;1680;21;15;17.908;17.908;17.91
581;1760;22;15;17.83;17.83;17.833
582;1840;23;15;17.754;17.753;17.757
583;1920;24;15;17.678;17.678;17.682
584;2000;25;15;17.605;17.604;17.608
585;2080;26;15;17.532;17.532;17.536
586;2160;27;15;17.461;17.46;17.465
587;2240;28;15;17.39;17.39;17.395
588;2320;29;15;17.321;17.32;17.326
589;2400;30;15;17.253;17.252;17.258
590;2480;31;15;17.186;17.185;17.191
591;2560;32;15;17.119;17.119;17.126
592;2640;33;15;17.054;17.054;17.061
593;2720;34;15;16.99;16.99;16.997
594;2800;35;15;16.927;16.926;16.934
595;2880;36;15;16.864;16.864;16.872
596;2960;37;15;16.803;16.802;16.811
597;3040;38;15;16.742;16.742;16.751
598;3120;39;15;16.683;16.682;16.691
599;3200;40;15;16.624;16.623;16.633
600;3280;41;15;16.566;16.565;16.575
601;3360;42;15;16.508;16.507;16.518
602;3440;43;15;16.451;16.451;16.461
603;3520;44;15;16.395;16.395;16.406
604;3600;45;15;16.34;16.339;16.351
605;3680;46;15;16.285;16.285;16.296
606;3760;47;15;16.232;16.231;16.243
607;3840;48;15;16.178;16.178;16.19
608;3920;49;15;16.126;16.125;16.138
609;4000;50;15;16.074;16.073;16.086
610;1200;15;16;18.21;18.21;18.21
611;1280;16;16;18.126;18.126;18.127
612;1360;17;16;18.044;18.044;18.045
613;1440;18;16;17.964;17.964;17.965
614;1520;19;16;17.885;17.885;17.887
615;1600;20;16;17.808;17.808;17.81
616;1680;21;16;17.732;17.732;17.734
617;1760;22;16;17.657;17.657;17.66
618;1840;23;16;17.584;17.583;17.586
619;1920;24;16;17.511;17.511;17.514
620;2000;25;16;17.44;17.44;17.444
621;2080;26;16;17.37;17.37;17.374
622;2160;27;16;17.302;17.301;17.305
623;2240;28;16;17.234;17.233;17.238
624;2320;29;16;17.167;17.167;17.171
625;2400;30;16;17.101;17.101;17.106
626;2480;31;16;17.036;17.036;17.042
627;2560;32;16;16.973;16.972;16.978
628;2640;33;16;16.91;16.909;16.915
629;2720;34;16;16.847;16.847;16.854
630;2800;35;16;16.786;16.786;16.793
631;2880;36;16;16.726;16.725;16.733
632;2960;37;16;16.666;16.666;16.673
633;3040;38;16;16.608;16.607;16.615
634;3120;39;16;16.55;16.549;16.557
635;3200;40;16;16.492;16.492;16.501
636;3280;41;16;16.436;16.435;16.444
637;3360;42;16;16.38;16.38;16.389
638;3440;43;16;16.325;16.325;16.334
639;3520;44;16;16.271;16.27;16.28
640;3600;45;16;16.217;16.217;16.227
641;3680;46;16;16.164;16.163;16.174
642;3760;47;16;16.112;16.111;16.122
643;3840;48;16;16.06;16.059;16.07
644;3920;49;16;16.009;16.008;16.02
645;4000;50;16;15.958;15.957;15.969
646;1280;16;17;17.941;17.941;17.941
647;1360;17;17;17.863;17.863;17.863
648;1440;18;17;17.786;17.786;17.787
649;1520;19;17;17.71;17.71;17.711
650;1600;20;17;17.636;17.636;17.637
651;1680;21;17;17.563;17.563;17.565
652;1760;22;17;17.491;17.491;17.493
653;1840;23;17;17.42;17.42;17.422
654;1920;24;17;17.35;17.35;17.353
655;2000;25;17;17.282;17.282;17.285
656;2080;26;17;17.214;17.214;17.218
657;2160;27;17;17.148;17.148;17.152
658;2240;28;17;17.083;17.082;17.086
659;2320;29;17;17.018;17.018;17.022
660;2400;30;17;16.955;16.954;16.959
661;2480;31;17;16.892;16.892;16.897
662;2560;32;17;16.83;16.83;16.835
663;2640;33;17;16.769;16.769;16.774
664;2720;34;17;16.709;16.709;16.715
665;2800;35;17;16.65;16.649;16.656
