Demand	OSNR
242	15,63
243	15,39
244	18,34
245	17,57
246	16,97
247	16,66
248	19,57
249	17,17
250	16,56
251	16,08
252	15,82
253	15,43
254	15,01
255	14,66
256	14,46
257	16,07
258	15,58
259	15,19
260	14,97
261	17,57
262	16,91
263	16,39
264	16,11
265	18,57
266	22,38
267	23,38
268	21,52
269	14,97
270	14,57
271	15,4
272	15,53
273	15,09
274	16,03
275	16,51
276	15,97
277	17,13
278	16,85
279	16,27
280	17,52
281	18,95
282	19,68
283	23,82
284	25,96
285	21,36
286	18,33
287	18,94
288	20,01
289	20,39
290	17,91
291	18,47
292	19,43
293	19,76
294	17,38
295	17,87
296	18,7
297	18,99
298	17,57
299	18,08
300	18,96
301	19,26
302	21,67
303	21,74
304	18,48
305	18,52
306	19,12
307	19,16
308	20,24
309	20,29
310	20,65
311	20,7
312	22,38
313	23,81
314	18,06
315	18,08
316	18,63
317	18,67
318	19,63
319	19,67
320	19,98
321	20,02
322	17,7
323	17,73
324	18,23
325	18,26
326	19,14
327	19,18
328	19,45
329	19,49
330	20,94
331	20,99
332	18,1
333	18,13
334	18,69
335	18,72
336	19,7
337	19,74
338	20,05
339	20,1
340	21,53
341	22,68
342	17,71
343	17,73
344	18,24
345	18,27
346	19,15
347	19,18
348	19,46
349	19,5
350	18,08
351	18,11
352	17,42
353	17,85
354	18,66
355	18,69
356	17,92
357	18,41
358	19,66
359	19,7
360	18,76
361	19,35
362	20,01
363	20,06
364	19,04
365	19,68
366	19,6
367	19,64
368	20,03
369	20,83
370	20,01
371	20,06
372	17,58
373	17,61
374	18,1
375	18,13
376	18,98
377	19,01
378	19,28
379	19,32
380	20,49
381	21,38
382	22,93
383	23,08
384	20,08
385	16,81
386	17,46
387	18,61
388	19,02
389	16,37
390	16,96
391	17,97
392	18,33
393	15,81
394	16,33
395	17,2
396	17,5
397	16,01
398	16,55
399	17,47
400	17,79
401	19,44
402	20,5
403	16,49
404	17,01
405	17,09
406	17,69
407	18,14
408	18,9
409	18,51
410	19,35
411	21,23
412	21,33
413	16,08
414	16,55
415	16,63
416	17,17
417	17,57
418	18,23
419	17,89
420	18,61
421	15,74
422	16,18
423	16,25
424	16,74
425	17,11
426	17,71
427	17,4
428	18,04
429	18,78
430	19,67
431	16,12
432	16,6
433	16,68
434	17,22
435	17,63
436	18,31
437	17,96
438	18,69
439	20,27
440	20,35
441	15,74
442	16,18
443	16,25
444	16,75
445	17,11
446	17,72
447	17,41
448	18,05
449	16,1
450	16,58
451	15,86
452	15,88
453	16,65
454	17,19
455	16,38
456	16,41
457	17,6
458	18,27
459	17,26
460	17,3
461	17,92
462	18,65
463	17,57
464	17,61
465	17,54
466	18,2
467	18,62
468	18,68
469	17,93
470	18,65
471	15,62
472	16,05
473	16,12
474	16,6
475	16,95
476	17,53
477	17,24
478	17,86
479	19,12
480	19,18
481	25,78
482	23,93
483	22,38
484	18,82
485	19,52
486	20,75
487	21,2
488	18,36
489	18,99
490	20,07
491	20,46
492	17,78
493	18,32
494	19,25
495	19,57
496	17,99
497	18,56
498	19,53
499	19,87
500	22,86
501	19,04
502	19,76
503	21,08
504	21,57
505	23,7
506	22,46
507	18,56
508	19,21
509	20,35
510	20,76
511	18,16
512	18,76
513	19,78
514	20,14
515	21,93
516	18,61
517	19,27
518	20,43
519	20,85
520	22,6
521	21,6
522	18,17
523	18,76
524	19,79
525	20,15
526	18,58
527	17,83
528	17,44
529	19,24
530	18,38
531	17,95
532	20,39
533	19,31
534	18,79
535	20,8
536	19,63
537	19,08
538	20,31
539	20,77
540	20,08
541	20,8
542	18,03
543	18,61
544	19,6
545	19,94
546	21,32
547	20,54
548	27,48
549	22,19
550	21,26
551	18,73
552	18,28
553	19,41
554	18,89
555	20,62
556	19,94
557	21,05
558	20,32
559	24,68
560	18,28
561	17,87
562	18,89
563	18,42
564	19,95
565	19,37
566	20,33
567	19,69
568	17,91
569	17,52
570	18,47
571	18,04
572	19,43
573	18,9
574	19,76
575	19,2
576	21,37
577	20,59
578	18,33
579	17,91
580	18,95
581	18,47
582	20,03
583	19,43
584	20,41
585	19,76
586	23,34
587	17,92
588	17,53
589	18,48
590	18,04
591	19,44
592	18,91
593	19,77
594	19,21
595	18,31
596	17,89
597	18,07
598	18,92
599	18,44
600	18,65
601	19,99
602	19,4
603	19,65
604	20,36
605	19,73
606	20,0
607	19,92
608	19,34
609	21,25
610	20,37
611	19,73
612	17,79
613	17,41
614	18,33
615	17,91
616	19,26
617	18,75
618	19,58
619	19,03
620	21,86
621	19,94
622	17,67
623	18,46
624	20,5
625	19,84
626	19,03
627	18,08
628	18,41
629	19,11
630	17,14
631	17,85
632	19,57
633	19,03
634	18,34
635	17,51
636	17,8
637	19,46
638	17,37
639	18,11
640	19,96
641	21,94
642	20,71
643	19,39
644	19,83
645	19,82
646	17,59
647	18,38
648	20,37
649	22,6
650	18,99
651	17,07
652	17,76
653	19,44
654	18,3
655	16,6
656	17,22
657	18,69
658	21,2
659	20,23
660	19,1
661	17,14
662	17,84
663	19,56
664	21,34
665	18,38
666	16,66
667	17,28
668	18,77
669	17,77
670	16,23
671	16,8
672	18,12
673	20,24
674	21,26
675	18,19
676	16,53
677	17,14
678	18,57
679	19,93
680	17,6
681	16,1
682	16,65
683	17,92
684	17,08
685	15,72
686	16,23
687	17,37
688	22,43
689	21,06
690	21,62
691	17,49
692	18,25
693	19,66
694	20,19
695	16,99
696	17,67
697	18,88
698	19,32
699	16,35
700	16,94
701	17,95
702	18,31
703	16,58
704	17,2
705	18,27
706	18,65
707	22,22
708	17,72
709	18,53
710	20,04
711	20,62
712	20,88
713	19,87
714	17,2
715	17,91
716	19,2
717	19,67
718	16,77
719	17,41
720	18,55
721	18,96
722	21,05
723	17,25
724	17,98
725	19,29
726	19,77
727	19,99
728	19,14
729	16,78
730	17,42
731	18,56
732	18,97
733	17,22
734	17,94
735	19,24
736	19,72
737	19,15
738	18,43
739	17,81
740	19,72
741	16,63
742	17,25
743	18,34
744	18,73
745	18,9
746	18,22
747	16,85
748	17,74
749	20,18
750	15,99
751	16,71
752	15,65
753	16,32
754	15,21
755	15,81
756	14,64
757	15,17
758	14,84
759	15,4
760	16,28
761	17,05
762	19,06
763	15,51
764	16,15
765	15,21
766	15,81
767	14,8
768	15,35
769	14,28
770	14,76
771	14,46
772	14,97
773	16,52
774	17,34
775	19,52
776	15,72
777	16,39
778	16,63
779	17,47
780	17,84
781	15,86
782	16,55
783	18,31
784	16,09
785	16,82
786	17,15
787	15,39
788	16,02
789	17,54
790	15,41
791	16,04
792	16,31
793	14,8
794	15,35
795	16,63
796	15,65
797	16,31
798	16,6
799	15,01
800	15,59
801	16,95
802	16,77
803	17,64
804	20,02
805	15,92
806	16,63
807	16,88
808	17,78
809	18,18
810	16,07
811	16,8
812	18,68
813	16,19
814	16,95
815	18,9
816	15,44
817	16,07
818	15,69
819	16,37
820	18,03
821	15,01
822	15,58
823	16,31
824	17,09
825	17,43
826	15,59
827	16,24
828	17,85
829	15,85
830	16,55
831	16,85
832	15,19
833	15,79
834	17,22
835	16,27
836	17,04
837	19,05
838	15,51
839	16,15
840	16,38
841	17,17
842	17,52
843	15,64
844	16,3
845	17,94
846	15,75
847	16,43
848	18,13
849	15,06
850	15,64
851	15,29
852	15,91
853	17,39
854	14,66
855	15,19
856	15,86
857	16,56
858	16,86
859	15,2
860	15,79
861	17,23
862	16,34
863	17,13
864	17,47
865	15,61
866	16,27
867	17,9
868	15,3
869	15,92
870	17,4
871	14,87
872	15,43
873	16,74
874	14,49
875	15,0
876	16,18
877	15,61
878	16,27
879	17,9
880	14,94
881	15,5
882	15,7
883	16,37
884	16,67
885	15,06
886	15,64
887	17,02
888	15,16
889	15,75
890	17,17
891	14,54
892	15,06
893	14,75
894	15,29
895	16,56
896	14,18
897	14,66
898	19,79
899	17,05
900	17,98
901	18,27
902	17,73
903	17,05
904	16,23
905	16,51
906	18,75
907	16,45
908	17,26
909	17,5
910	17,04
911	16,45
912	15,72
913	15,98
914	19,19
915	16,71
916	17,56
917	17,83
918	19,38
919	18,05
920	16,01
921	16,74
922	18,43
923	17,32
924	15,54
925	16,18
926	17,35
927	16,46
928	14,93
929	15,49
930	17,72
931	16,76
932	15,14
933	15,73
934	19,64
935	16,97
936	17,88
937	18,16
938	19,86
939	18,4
940	16,24
941	17,0
942	18,61
943	16,37
944	17,15
945	17,39
946	17,79
947	15,85
948	16,54
949	16,75
950	18,81
951	17,62
952	15,73
953	16,41
954	18,04
955	17,02
956	15,33
957	15,94
958	18,75
959	16,45
960	17,25
961	17,5
962	18,92
963	17,7
964	15,79
965	16,48
966	17,88
967	15,91
968	16,61
969	16,83
970	17,17
971	15,43
972	16,07
973	16,26
974	18,06
975	17,03
976	15,33
977	15,95
978	18,86
979	17,66
980	15,76
981	16,44
982	17,19
983	15,44
984	16,08
985	16,56
986	15,0
987	15,57
988	16,02
989	14,61
990	15,13
991	17,66
992	15,76
993	16,45
994	16,65
995	17,8
996	16,82
997	15,19
998	15,79
999	16,97
1000	15,29
1001	15,91
1002	16,09
1003	16,38
1004	14,87
1005	15,43
1006	15,6
1007	17,24
1008	18,22
1009	19,46
1010	16,31
1011	17,09
1012	15,95
1013	16,67
1014	15,48
1015	16,12
1016	14,88
1017	15,44
1018	15,09
1019	15,68
1020	16,62
1021	17,46
1022	18,48
1023	15,8
1024	16,49
1025	15,48
1026	16,12
1027	15,05
1028	15,63
1029	14,5
1030	15,01
1031	14,69
1032	15,23
1033	16,89
1034	17,78
1035	18,89
1036	16,02
1037	16,74
1038	17,0
1039	17,92
1040	17,4
1041	16,17
1042	16,92
1043	17,82
1044	16,42
1045	17,21
1046	16,76
1047	15,67
1048	16,34
1049	17,12
1050	15,69
1051	16,36
1052	15,99
1053	15,05
1054	15,63
1055	16,29
1056	15,95
1057	16,66
1058	16,26
1059	15,27
1060	15,88
1061	16,58
1062	17,16
1063	18,11
1064	19,32
1065	16,24
1066	17,01
1067	17,28
1068	18,26
1069	17,7
1070	16,4
1071	17,19
1072	18,15
1073	16,53
1074	17,35
1075	18,35
1076	15,72
1077	16,4
1078	15,99
1079	16,72
1080	17,57
1081	15,27
1082	15,88
1083	16,66
1084	17,5
1085	17,03
1086	15,88
1087	16,58
1088	17,41
1089	16,16
1090	16,92
1091	16,49
1092	15,46
1093	16,1
1094	16,83
1095	16,62
1096	17,45
1097	18,48
1098	15,8
1099	16,48
1100	16,73
1101	17,59
1102	17,1
1103	15,94
1104	16,65
1105	17,49
1106	16,06
1107	16,79
1108	17,66
1109	15,32
1110	15,94
1111	15,57
1112	16,22
1113	16,98
1114	14,9
1115	15,46
1116	16,17
1117	16,92
1118	16,5
1119	15,47
1120	16,1
1121	16,84
1122	16,69
1123	17,54
1124	17,06
1125	15,91
1126	16,61
1127	17,45
1128	15,58
1129	16,23
1130	16,99
1131	15,13
1132	15,72
1133	16,39
1134	14,72
1135	15,26
1136	15,87
1137	15,91
1138	16,61
1139	17,45
1140	15,19
1141	15,79
1142	16,0
1143	16,72
1144	16,32
1145	15,32
1146	15,93
1147	16,64
1148	15,42
1149	16,06
1150	16,79
1151	14,78
1152	15,32
1153	14,99
1154	15,57
1155	16,22
1156	14,4
1157	14,9
1158	20,75
1159	21,85
1160	21,76
1161	19,72
1162	20,58
1163	19,33
1164	20,11
1165	18,82
1166	19,51
1167	18,18
1168	18,78
1169	18,41
1170	19,04
1171	20,06
1172	20,99
1173	20,91
1174	19,17
1175	19,92
1176	18,82
1177	19,51
1178	18,36
1179	18,98
1180	17,78
1181	18,32
1182	17,98
1183	18,55
1184	20,35
1185	21,35
1186	21,27
1187	19,4
1188	20,2
1189	20,48
1190	21,51
1191	19,95
1192	19,57
1193	20,39
1194	20,32
1195	19,84
1196	20,72
1197	19,37
1198	19,03
1199	19,76
1200	19,7
1201	19,05
1202	19,78
1203	18,65
1204	18,36
1205	18,98
1206	18,93
1207	19,33
1208	20,1
1209	18,9
1210	18,6
1211	19,25
1212	19,2
1213	20,65
1214	21,73
1215	21,64
1216	19,65
1217	20,49
1218	20,79
1219	21,9
1220	20,22
1221	19,82
1222	20,69
1223	20,62
1224	19,96
1225	20,87
1226	20,8
1227	19,09
1228	19,82
1229	19,38
1230	20,17
1231	20,1
1232	18,6
1233	19,25
1234	20,1
1235	21,04
1236	19,61
1237	19,25
1238	20,02
1239	19,96
1240	19,56
1241	20,39
1242	19,12
1243	18,8
1244	19,49
1245	19,43
1246	20,06
1247	20,99
1248	20,91
1249	19,16
1250	19,91
1251	20,18
1252	21,13
1253	19,68
1254	19,32
1255	20,09
1256	20,03
1257	19,45
1258	20,25
1259	20,18
1260	18,65
1261	19,32
1262	18,92
1263	19,63
1264	19,57
1265	18,21
1266	18,81
1267	19,57
1268	20,4
1269	19,13
1270	18,81
1271	19,5
1272	19,44
1273	20,14
1274	21,08
1275	19,64
1276	19,28
1277	20,05
1278	19,99
1279	18,93
1280	19,64
1281	19,58
1282	18,44
1283	19,08
1284	19,02
1285	18,01
1286	18,59
1287	18,54
1288	19,28
1289	20,06
1290	19,99
1291	18,52
1292	19,16
1293	19,39
1294	20,18
1295	18,96
1296	18,65
1297	19,31
1298	19,26
1299	18,76
1300	19,44
1301	19,39
1302	18,07
1303	18,65
1304	18,3
1305	18,92
1306	18,87
1307	17,67
1308	18,2
1309	18,21
1310	18,3
1311	18,22
1312	16,86
1313	17,09
1314	17,16
1315	16,66
1316	16,73
1317	16,12
1318	16,17
1319	15,44
1320	15,48
1321	15,68
1322	15,73
1323	17,46
1324	17,53
1325	17,46
1326	16,29
1327	16,49
1328	16,55
1329	16,11
1330	16,17
1331	15,63
1332	15,68
1333	15,01
1334	15,05
1335	15,23
1336	15,27
1337	17,78
1338	17,86
1339	17,78
1340	16,53
1341	16,74
1342	16,81
1343	17,92
1344	18,0
1345	16,58
1346	16,92
1347	16,98
1348	16,92
1349	15,86
1350	17,21
1351	17,28
1352	16,04
1353	16,34
1354	16,4
1355	16,34
1356	15,4
1357	16,36
1358	16,42
1359	15,37
1360	15,63
1361	15,68
1362	15,63
1363	14,81
1364	16,66
1365	16,72
1366	15,6
1367	15,88
1368	15,93
1369	15,88
1370	15,02
1371	18,11
1372	18,19
1373	18,11
1374	16,78
1375	17,0
1376	17,07
1377	18,26
1378	18,35
1379	16,83
1380	17,19
1381	17,26
1382	17,19
1383	16,08
1384	17,35
1385	17,42
1386	17,35
1387	16,2
1388	16,4
1389	16,46
1390	16,71
1391	16,78
1392	16,72
1393	15,7
1394	15,88
1395	15,93
1396	17,5
1397	17,58
1398	16,26
1399	16,58
1400	16,64
1401	16,58
1402	15,59
1403	16,91
1404	16,98
1405	15,81
1406	16,09
1407	16,15
1408	16,1
1409	15,2
1410	17,45
1411	17,53
1412	17,46
1413	16,28
1414	16,48
1415	16,54
1416	17,58
1417	17,66
1418	16,32
1419	16,65
1420	16,71
1421	16,65
1422	15,65
1423	16,79
1424	16,85
1425	16,79
1426	15,76
1427	15,94
1428	15,99
1429	16,22
1430	16,28
1431	16,22
1432	15,3
1433	15,46
1434	15,51
1435	16,92
1436	16,99
1437	15,81
1438	16,1
1439	16,16
1440	16,1
1441	15,2
1442	17,54
1443	17,62
1444	16,29
1445	16,61
1446	16,67
1447	16,61
1448	15,62
1449	16,23
1450	16,29
1451	16,23
1452	15,31
1453	15,71
1454	15,76
1455	15,72
1456	14,88
1457	15,26
1458	15,3
1459	15,26
1460	14,5
1461	16,61
1462	16,67
1463	16,62
1464	15,62
1465	15,79
1466	15,84
1467	16,72
1468	16,79
1469	15,65
1470	15,93
1471	15,99
1472	15,94
1473	15,06
1474	16,05
1475	16,11
1476	16,06
1477	15,16
1478	15,32
1479	15,37
1480	15,57
1481	15,62
1482	15,57
1483	14,76
1484	14,9
1485	14,94
1486	20,26
1487	18,86
1488	18,79
1489	18,69
1490	18,94
1491	17,86
1492	18,47
1493	17,48
1494	17,85
1495	16,98
1496	17,1
1497	16,35
1498	17,36
1499	16,57
1500	19,37
1501	18,19
1502	18,13
1503	18,04
1504	18,26
1505	17,31
1506	17,85
1507	16,97
1508	17,31
1509	16,52
1510	16,64
1511	15,95
1512	16,87
1513	16,15
1514	19,74
1515	18,48
1516	18,41
1517	18,32
1518	18,55
1519	17,55
1520	19,91
1521	18,6
1522	17,34
1523	18,75
1524	17,71
1525	17,65
1526	17,57
1527	19,09
1528	17,97
1529	16,85
1530	18,1
1531	17,18
1532	17,13
1533	17,06
1534	18,13
1535	17,2
1536	16,24
1537	17,31
1538	16,52
1539	16,48
1540	16,42
1541	18,46
1542	17,47
1543	16,46
1544	17,59
1545	16,76
1546	16,71
1547	16,65
1548	20,13
1549	18,77
1550	18,7
1551	18,6
1552	18,85
1553	17,78
1554	20,31
1555	18,9
1556	17,57
1557	19,06
1558	17,95
1559	17,89
1560	17,81
1561	19,24
1562	18,09
1563	18,03
1564	17,95
1565	18,17
1566	17,23
1567	18,52
1568	17,52
1569	17,47
1570	17,39
1571	17,59
1572	16,75
1573	19,42
1574	18,23
1575	17,06
1576	18,37
1577	17,4
1578	17,35
1579	17,27
1580	18,75
1581	17,7
1582	16,64
1583	17,83
1584	16,95
1585	16,91
1586	16,84
1587	19,36
1588	18,19
1589	18,13
1590	18,04
1591	18,26
1592	17,31
1593	19,52
1594	18,3
1595	17,11
1596	18,44
1597	17,46
1598	17,41
1599	17,33
1600	18,6
1601	17,59
1602	17,54
1603	17,46
1604	17,65
1605	16,81
1606	17,97
1607	17,07
1608	17,02
1609	16,95
1610	17,13
1611	16,37
1612	18,76
1613	17,71
1614	16,65
1615	17,83
1616	16,96
1617	16,91
1618	16,85
1619	19,46
1620	18,26
1621	17,08
1622	18,4
1623	17,43
1624	17,38
1625	17,3
1626	17,98
1627	17,08
1628	17,03
1629	16,96
1630	17,41
1631	16,6
1632	16,56
1633	16,5
1634	16,91
1635	16,18
1636	16,14
1637	16,08
1638	18,41
1639	17,43
1640	17,38
1641	17,3
1642	17,49
1643	16,68
1644	18,53
1645	17,53
1646	16,5
1647	17,65
1648	16,81
1649	16,76
1650	16,7
1651	17,78
1652	16,92
1653	16,87
1654	16,8
1655	16,97
1656	16,24
1657	17,24
1658	16,47
1659	16,42
1660	16,36
1661	16,52
1662	15,85
1663	17,88
1664	17,17
1665	15,07
1666	14,67
1667	15,65
1668	15,2
1669	16,65
1670	16,1
1671	17,01
1672	16,41
1673	19,61
1674	14,68
1675	14,31
1676	15,21
1677	14,8
1678	16,11
1679	15,61
1680	16,42
1681	15,89
1682	23,41
1683	15,34
1684	15,05
1685	14,92
1686	14,65
1687	14,82
1688	15,81
1689	15,96
1690	15,63
1691	15,48
1692	15,18
1693	15,37
1694	16,5
1695	17,04
1696	16,62
1697	16,44
1698	16,07
1699	16,31
1700	17,74
1701	17,42
1702	16,97
1703	16,77
1704	16,38
1705	16,63
1706	18,19
1707	16,56
1708	16,01
1709	17,78
1710	19,9
1711	16,97
1712	16,38
1713	14,55
1714	14,19
1715	15,07
1716	14,67
1717	15,94
1718	15,46
1719	16,24
1720	15,73
1721	18,32
1722	20,82
1723	27,14
1724	21,5
1725	19,3
1726	20,08
1727	22,03
1728	24,2
1729	20,68
1730	18,78
1731	19,46
1732	21,12
1733	20,0
1734	18,32
1735	18,93
1736	20,38
1737	25,48
1738	19,33
1739	17,84
1740	18,39
1741	19,66
1742	18,82
1743	17,46
1744	17,97
1745	19,1
1746	28,14
1747	21,06
1748	19,03
1749	19,75
1750	21,55
1751	23,44
1752	20,31
1753	18,53
1754	19,18
1755	20,72
1756	19,69
1757	18,1
1758	18,68
1759	20,04
1760	24,48
1761	19,16
1762	19,88
1763	17,72
1764	18,23
1765	18,26
1766	18,83
1767	19,48
1768	20,24
1769	19,81
1770	20,25
1771	18,67
1772	19,3
1773	17,35
1774	17,82
1775	17,84
1776	18,37
1777	18,95
1778	19,62
1779	19,24
1780	19,63
1781	19,55
1782	18,0
1783	18,57
1784	19,89
1785	21,11
1786	21,7
1787	28,99
1788	18,68
1789	17,76
1790	18,23
1791	17,39
1792	19,2
1793	19,35
1794	18,3
1795	18,83
1796	17,88
1797	19,95
1798	20,54
1799	19,22
1800	19,88
1801	18,72
1802	21,33
1803	20,97
1804	19,54
1805	20,25
1806	19,0
1807	21,84
1808	23,9
1809	25,07
1810	27,02
1811	19,79
1812	19,23
1813	18,17
1814	17,77
1815	18,77
1816	18,31
1817	20,16
1818	19,55
1819	21,06
1820	19,23
1821	18,73
1822	17,77
1823	17,4
1824	18,31
1825	17,9
1826	19,55
1827	19,01
1828	20,33
1829	22,87
1830	19,39
1831	19,47
1832	15,82
1833	15,86
1834	16,52
1835	16,56
1836	17,76
1837	17,81
1838	18,21
1839	18,27
1840	20,24
1841	22,06
1842	15,36
1843	15,39
1844	15,99
1845	16,02
1846	17,07
1847	17,12
1848	17,46
1849	17,51
1850	18,07
1851	19,1
1852	15,79
1853	15,83
1854	15,03
1855	15,53
1856	14,22
1857	14,64
1858	16,48
1859	16,52
1860	15,61
1861	16,18
1862	14,7
1863	15,16
1864	17,71
1865	17,76
1866	16,6
1867	17,32
1868	15,5
1869	16,05
1870	18,16
1871	18,22
1872	16,94
1873	17,73
1874	15,77
1875	16,36
1876	17,63
1877	17,68
1878	18,18
1879	19,24
1880	16,69
1881	17,43
1882	18,16
1883	18,22
1884	15,22
1885	15,25
1886	15,82
1887	15,85
1888	16,86
1889	16,91
1890	17,23
1891	17,28
1892	18,79
1893	20,02
1894	17,12
1895	17,94
1896	18,87
1897	18,93
1898	15,58
1899	15,61
1900	16,23
1901	16,27
1902	17,38
1903	17,43
1904	17,8
1905	17,85
1906	19,61
1907	21,14
1908	15,14
1909	15,17
1910	15,73
1911	15,76
1912	16,75
1913	16,79
1914	17,11
1915	17,15
1916	18,9
1917	20,17
1918	17,15
1919	14,66
1920	15,19
1921	16,08
1922	16,39
1923	14,29
1924	14,78
1925	15,6
1926	15,87
1927	21,86
1928	23,11
1929	18,58
1930	19,14
1931	19,23
1932	19,89
1933	20,38
1934	21,24
1935	20,8
1936	21,75
1937	24,0
1938	24,13
1939	18,14
1940	18,65
1941	18,73
1942	19,31
1943	19,75
1944	20,49
1945	20,11
1946	20,91
1947	21,53
1948	21,6
1949	18,55
1950	19,11
1951	18,27
1952	18,3
1953	17,42
1954	17,45
1955	19,2
1956	19,85
1957	18,88
1958	18,92
1959	17,92
1960	17,95
1961	20,34
1962	21,19
1963	19,93
1964	19,98
1965	18,76
1966	18,8
1967	20,75
1968	21,69
1969	20,3
1970	20,36
1971	19,04
1972	19,08
1973	20,27
1974	21,1
1975	21,65
1976	21,73
1977	20,03
1978	20,08
1979	20,75
1980	21,69
1981	18,0
1982	18,5
1983	18,58
1984	19,14
1985	19,56
1986	20,26
1987	19,9
1988	20,66
1989	22,33
1990	22,41
1991	20,49
1992	20,55
1993	21,39
1994	22,5
1995	18,34
1996	18,88
1997	18,96
1998	19,58
1999	20,04
2000	20,83
2001	20,42
2002	21,29
2003	23,27
2004	23,37
2005	17,93
2006	18,41
2007	18,49
2008	19,04
2009	19,45
2010	20,14
2011	19,78
2012	20,53
2013	22,46
2014	22,54
2015	20,52
2016	17,88
2017	18,43
2018	19,38
2019	19,71
2020	17,5
2021	18,01
2022	18,86
2023	19,16
2024	22,08
2025	17,67
2026	18,47
2027	19,95
2028	20,52
2029	23,16
2030	21,59
2031	17,15
2032	17,86
2033	19,12
2034	19,59
2035	20,27
2036	19,38
2037	17,64
2038	16,75
2039	16,31
2040	15,86
2041	15,49
2042	18,43
2043	17,39
2044	16,89
2045	16,38
2046	15,98
2047	19,9
2048	18,52
2049	17,89
2050	17,26
2051	16,78
2052	20,45
2053	18,92
2054	18,24
2055	17,57
2056	17,05
2057	19,8
2058	20,41
2059	19,49
2060	18,63
2061	17,99
2062	20,46
2063	16,99
2064	17,67
2065	18,88
2066	19,31
2067	21,18
2068	20,11
2069	19,13
2070	18,42
2071	21,37
2072	17,39
2073	18,14
2074	19,5
2075	20,01
2076	22,27
2077	20,94
2078	16,9
2079	17,56
2080	18,74
2081	19,17
2082	21,32
2083	20,22
2084	19,16
2085	16,33
2086	16,92
2087	17,93
2088	18,28
2089	15,94
2090	16,47
2091	17,38
2092	17,69
2093	23,02
2094	21,93
2095	19,1
2096	18,61
2097	19,84
2098	19,27
2099	21,18
2100	20,43
2101	21,68
2102	20,85
2103	26,27
2104	18,62
2105	18,17
2106	19,28
2107	18,76
2108	20,44
2109	19,79
2110	20,86
2111	20,15
2112	22,69
2113	19,07
2114	18,58
2115	18,8
2116	17,86
2117	19,81
2118	19,24
2119	19,48
2120	18,41
2121	21,13
2122	20,39
2123	20,71
2124	19,35
2125	21,63
2126	20,8
2127	21,15
2128	19,68
2129	21,05
2130	20,31
2131	22,85
2132	20,83
2133	21,63
2134	20,8
2135	18,46
2136	18,03
2137	19,1
2138	18,61
2139	20,22
2140	19,6
