Index;Origin;Destination;length;slices;cost;lineAmps;pnliC;paseC;pnliL;paseL;pnliS;paseS
19;8;9;99;50;0;2;4.06669931365137e-08;8.914722306897331e-08;2.7440202635213685e-08;1.2570579779078335e-07;6.769244873665686e-08;1.8828951083950023e-07
20;9;10;107;50;0;2;4.224177039556407e-08;1.0923400172427845e-07;2.8340287821862536e-08;1.564457536925043e-07;6.991287586563375e-08;2.3433361828469566e-07
21;9;18;194;50;0;3;6.819124973281632e-08;2.842693758836734e-07;4.51684763737215e-08;4.2588433726989197e-07;1.114264647418202e-07;6.379145190440223e-07
22;10;11;114;50;0;2;4.34198799181392e-08;1.3011611787993946e-07;2.9000395598477665e-08;1.8895727300970454e-07;7.154130086027448e-08;2.8303127723494517e-07
23;10;16;126;50;0;2;4.507272110276622e-08;1.7476066039169098e-07;2.9904331871580866e-08;2.6003314189294525e-07;7.377122826429878e-08;3.894928790044307e-07
24;11;12;101;50;0;2;4.108535465817672e-08;9.3827535328689e-08;2.7681170590733922e-08;1.3281706454323975e-07;6.828689445533744e-08;1.9894118293260223e-07
25;11;13;154;50;0;2;4.759806006884345e-08;3.422011105516863e-07;3.122116708964727e-08;5.399906230310049e-07;7.701973927854298e-08;8.088296009834444e-07
26;11;16;142;50;0;2;4.670259418546926e-08;2.5713268852410374e-07;3.076489949865375e-08;3.955390825977662e-07;7.589416921901684e-08;5.924616182317294e-07
27;13;14;214;50;0;3;7.013826783736423e-08;3.9190120834388754e-07;4.619092125903952e-08;6.036968732561433e-07;1.1394874196059804e-07;9.042525560350024e-07
28;13;15;145;50;0;2;4.6949311823766225e-08;2.762494383175848e-07;3.089193936037966e-08;4.276458268916619e-07;7.620756483936686e-08;6.405529814304902e-07
29;13;16;133;50;0;2;4.585642179924582e-08;2.0710322893163947e-07;3.032243437492623e-08;3.1263938229355405e-07;7.480264857305603e-08;4.682895888317798e-07
30;14;15;84;50;0;2;3.6932043491785145e-08;6.014346669667268e-08;2.5236573355615906e-08;8.244737718083054e-08;6.225629857308839e-08;1.2349451331763917e-07
31;14;17;193;50;0;3;6.807816799745694e-08;2.7970679347382866e-07;4.510808555780255e-08;4.1847335628049524e-07;1.1127748616957332e-07;6.268139174022685e-07
32;15;17;133;50;0;2;4.585642179924582e-08;2.0710322893163947e-07;3.032243437492623e-08;3.1263938229355405e-07;7.480264857305603e-08;4.682895888317798e-07
33;16;17;129;50;0;2;4.5423276078586894e-08;1.8798621996212937e-07;3.00922689215602e-08;2.814421363255258e-07;7.423485163073555e-08;4.2156052552607525e-07
34;17;18;140;50;0;2;4.6528780529687867e-08;2.451024336296891e-07;3.067484096203849e-08;3.7545060755246863e-07;7.56720031164494e-08;5.623719230365574e-07
35;17;19;154;50;0;2;4.759806006884345e-08;3.422011105516863e-07;3.122116708964727e-08;5.399906230310049e-07;7.701973927854298e-08;8.088296009834444e-07
36;18;19;81;50;0;2;3.604483257777666e-08;5.545086108097483e-08;2.4700585099139953e-08;7.559886442145135e-08;6.093406498548406e-08;1.1323640955389911e-07
37;18;20;129;50;0;2;4.5423276078586894e-08;1.8798621996212937e-07;3.00922689215602e-08;2.814421363255258e-07;7.423485163073555e-08;4.2156052552607525e-07
38;19;20;142;50;0;2;4.670259418546926e-08;2.5713268852410374e-07;3.076489949865375e-08;3.955390825977662e-07;7.589416921901684e-08;5.924616182317294e-07
39;19;21;102;50;0;2;4.1288187279089186e-08;9.624976908308769e-08;2.779752916548185e-08;1.365100887006598e-07;6.857394032598588e-08;2.0447281094292193e-07
40;20;21;137;50;0;2;4.6253247468488067e-08;2.2806461244218097e-07;3.053117748251573e-08;3.4716299667637556e-07;7.531759856440558e-08;5.200010816888705e-07
41;20;26;156;50;0;2;4.772538187759704e-08;3.58807485107098e-07;3.1284884966229873e-08;5.686289055994692e-07;7.717692540254928e-08;8.51725698942857e-07
42;21;22;119;50;0;2;4.4160583139167484e-08;1.4723267005417313e-07;2.9408924223134092e-08;2.159738751348294e-07;7.254910329342866e-08;3.23498327188771e-07
43;22;23;130;50;0;2;4.553513370740554e-08;1.926016912308608e-07;3.015193026925713e-08;2.889476798634152e-07;7.438203067216695e-08;4.3280276849473955e-07
44;22;24;141;50;0;2;4.66166473648792e-08;2.5104831242248503e-07;3.072042396196396e-08;3.85367649461279e-07;7.57844521725565e-08;5.772262495895181e-07
45;23;24;152;50;0;2;4.746492004062752e-08;3.2634214597057323e-07;3.1154208416337336e-08;5.127669343393389e-07;7.68545584079509e-08;7.680523646340767e-07
46;23;26;92;50;0;2;3.906157675791439e-08;7.436381696755323e-08;2.6504049601249423e-08;1.0347079105893496e-07;6.53830455553564e-08;1.5498461468808588e-07
47;23;28;114;50;0;2;4.34198799181392e-08;1.3011611787993946e-07;2.9000395598477665e-08;1.8895727300970454e-07;7.154130086027448e-08;2.8303127723494517e-07
48;24;30;224;50;0;3;7.091685661383901e-08;4.594523632912212e-07;4.65894145850755e-08;7.178233386142132e-07;1.149317882377408e-07;1.075197864157359e-06
49;25;26;156;50;0;2;4.772538187759704e-08;3.58807485107098e-07;3.1284884966229873e-08;5.686289055994692e-07;7.717692540254928e-08;8.51725698942857e-07
50;25;27;226;50;0;3;7.10592020648736e-08;4.7425208365076524e-07;4.6661534546853935e-08;7.430535664996938e-07;1.1510970153089234e-07;1.1129891780857175e-06
51;25;28;223;50;0;3;7.0844083395829e-08;4.522211574898154e-07;4.655245254979658e-08;7.05524171592941e-07;1.148406063061938e-07;1.0567754510080235e-06
52;27;28;197;50;0;3;6.852079752996459e-08;2.983849784349643e-07;4.534387775351448e-08;4.488831223896032e-07;1.11859163766234e-07;6.723634472255251e-07
53;27;28;155;50;0;2;4.766243260921309e-08;3.504087080764976e-07;3.125342135706086e-08;5.54128433282276e-07;7.709930758102451e-08;8.300060417151916e-07
54;28;29;125;50;0;2;4.4950703657687385e-08;1.7055130056587204e-07;2.983858446321864e-08;2.5325076142493184e-07;7.36090354726021e-08;3.7933383206233916e-07
55;28;30;156;50;0;2;4.772538187759704e-08;3.58807485107098e-07;3.1284884966229873e-08;5.686289055994692e-07;7.717692540254928e-08;8.51725698942857e-07
56;29;30;129;50;0;2;4.5423276078586894e-08;1.8798621996212937e-07;3.00922689215602e-08;2.814421363255258e-07;7.423485163073555e-08;4.2156052552607525e-07
