Path;Distance;max_lengthC;osnrC;osnrC val;osnrL;osnrL val;osnrS;osnrS val;max_lengthL;max_lengthC;
3-2-4-5-;2200;yes;yes;20,0549;yes;18,7288;yes;16,8219;no;no;
3-1-8-7-5-;5900;no;yes;16,0311;no;14,4466;no;12,545;no;no;
3-1-2-4-5-;4300;no;yes;17,3476;no;15,8575;no;13,9525;no;no;
3-6-;2000;yes;yes;20,5977;yes;19,03;yes;17,1325;yes;no;
3-2-4-5-6-;3300;no;yes;18,4067;yes;17,0126;no;15,1054;no;no;
3-1-2-4-5-6-;5400;no;yes;16,3873;no;14,8877;no;12,9821;no;no;
3-6-10-9-8-7-;5500;no;yes;13,275;no;11,7614;no;9,85754;no;no;
3-6-5-7-;3900;yes;yes;14,713;yes;13,1614;no;11,262;yes;no;
3-2-4-5-7-;3000;yes;yes;15,6882;yes;14,3066;no;12,4034;yes;yes;
3-2-1-8-7-;5200;no;yes;13,5871;no;12,0476;no;10,1426;no;no;
3-1-8-7-;5100;no;yes;13,7019;no;12,1082;no;10,2051;no;no;
3-1-2-4-5-7-;5100;no;yes;13,558;no;12,0614;no;10,1583;no;no;
3-6-13-14-9-8-;5500;no;yes;13,2632;no;11,7458;no;9,84243;no;no;
3-6-13-12-9-8-;5500;no;yes;13,2632;no;11,7458;no;9,84243;no;no;
3-6-10-9-8-;4800;yes;yes;13,886;no;12,3608;no;10,4568;no;no;
3-6-5-7-8-;4600;yes;yes;13,984;no;12,4502;no;10,5502;no;no;
3-2-4-5-7-8-;3700;yes;yes;14,7935;yes;13,4018;no;11,4986;yes;no;
3-2-1-8-;4500;yes;yes;14,2473;no;12,6909;no;10,7856;no;no;
3-1-8-;4400;yes;yes;14,3813;no;12,7613;no;10,8583;no;no;
3-6-13-14-9-;4800;yes;yes;13,8725;no;12,3428;no;10,4394;no;no;
3-6-13-12-9-;4800;yes;yes;13,8725;no;12,3428;no;10,4394;no;no;
3-6-10-9-;4100;yes;yes;14,5973;yes;13,0563;no;11,1521;yes;no;
3-6-5-7-8-9-;5300;no;yes;13,36;no;11,8392;no;9,93879;no;no;
3-2-4-11-14-9-;5300;no;yes;13,4595;no;11,9668;no;10,0605;no;no;
3-2-4-11-12-9-;5300;no;yes;13,4595;no;11,9668;no;10,0605;no;no;
3-2-4-5-7-8-9-;4400;yes;yes;14,0519;no;12,6534;no;10,7502;no;no;
3-2-4-5-6-10-9-;5400;no;yes;13,3601;no;11,9208;no;10,0121;no;no;
3-2-1-8-9-;5200;no;yes;13,5871;no;12,0476;no;10,1426;no;no;
3-1-8-9-;5100;no;yes;13,7019;no;12,1082;no;10,2051;no;no;
3-6-13-14-9-10-;5700;no;yes;13,1809;no;11,6707;no;9,76396;no;no;
3-6-13-12-9-10-;5700;no;yes;13,1809;no;11,6707;no;9,76396;no;no;
3-6-10-;3200;yes;yes;15,5882;yes;14,0106;no;12,112;yes;no;
3-2-4-5-7-8-9-10-;5300;no;yes;13,3334;no;11,9354;no;10,0286;no;no;
3-2-4-5-6-10-;4500;yes;yes;14,0835;no;12,6362;no;10,7308;no;no;
3-1-8-9-10-;6000;no;yes;13,035;no;11,4689;no;9,56265;no;no;
3-6-13-14-11-;5100;no;yes;13,5646;no;12,0018;no;10,1023;no;no;
3-6-13-12-11-;5100;no;yes;13,5646;no;12,0018;no;10,1023;no;no;
3-6-10-9-14-11-;5400;no;yes;13,3571;no;11,8506;no;9,94602;no;no;
3-6-10-9-12-11-;5400;no;yes;13,3571;no;11,8506;no;9,94602;no;no;
3-2-4-11-;4000;yes;yes;14,7341;yes;13,2103;no;11,304;yes;no;
3-6-13-14-9-12-;5300;no;yes;13,4463;no;11,949;no;10,0434;no;no;
3-6-13-12-;4300;yes;yes;14,3452;no;12,7759;no;10,8752;no;no;
3-6-10-9-14-13-12-;5200;no;yes;13,4266;no;11,9739;no;10,0698;no;no;
3-6-10-9-12-;4600;yes;yes;14,098;no;12,5958;no;10,6891;no;no;
3-2-4-11-14-13-12-;5400;no;yes;13,2453;no;11,7708;no;9,86887;no;no;
3-2-4-11-14-9-12-;5800;no;yes;13,0703;no;11,6043;no;9,69623;no;no;
3-2-4-11-12-;4800;yes;yes;13,8871;no;12,3623;no;10,4582;no;no;
3-2-4-5-7-8-9-14-13-12-;5500;no;yes;13,004;no;11,6567;no;9,75336;no;no;
3-2-4-5-7-8-9-12-;4900;yes;yes;13,6086;no;12,2318;no;10,3262;no;no;
3-2-4-5-6-13-12-;5600;no;yes;13,1691;no;11,7033;no;9,79761;no;no;
3-2-1-8-9-12-;5700;no;yes;13,1867;no;11,6786;no;9,7716;no;no;
3-1-8-9-12-;5600;no;yes;13,2914;no;11,7342;no;9,82904;no;no;
3-6-13-;4000;yes;yes;14,7475;yes;13,1391;no;11,2373;yes;no;
3-6-10-9-14-13-;4900;yes;yes;13,7493;no;12,2737;no;10,3684;no;no;
3-6-10-9-12-13-;4900;yes;yes;13,7493;no;12,2737;no;10,3684;no;no;
3-2-4-11-14-13-;5100;no;yes;13,5544;no;12,0565;no;10,1535;no;no;
3-2-4-11-12-13-;5100;no;yes;13,5544;no;12,0565;no;10,1535;no;no;
3-2-4-5-7-8-9-14-13-;5200;no;yes;13,2958;no;11,9347;no;10,0303;no;no;
3-2-4-5-7-8-9-12-13-;5200;no;yes;13,2958;no;11,9347;no;10,0303;no;no;
3-2-4-5-6-13-;5300;no;yes;13,4726;no;11,9844;no;10,0775;no;no;
3-6-13-14-;4300;yes;yes;14,3452;no;12,7759;no;10,8752;no;no;
3-6-13-12-9-14-;5300;no;yes;13,4463;no;11,949;no;10,0434;no;no;
3-6-10-9-14-;4600;yes;yes;14,098;no;12,5958;no;10,6891;no;no;
3-6-10-9-12-13-14-;5200;no;yes;13,4266;no;11,9739;no;10,0698;no;no;
3-2-4-11-14-;4800;yes;yes;13,8871;no;12,3623;no;10,4582;no;no;
3-2-4-11-12-13-14-;5400;no;yes;13,2453;no;11,7708;no;9,86887;no;no;
3-2-4-11-12-9-14-;5800;no;yes;13,0703;no;11,6043;no;9,69623;no;no;
3-2-4-5-7-8-9-14-;4900;yes;yes;13,6086;no;12,2318;no;10,3262;no;no;
3-2-4-5-7-8-9-12-13-14-;5500;no;yes;13,004;no;11,6567;no;9,75336;no;no;
3-2-4-5-6-13-14-;5600;no;yes;13,1691;no;11,7033;no;9,79761;no;no;
3-2-1-8-9-14-;5700;no;yes;13,1867;no;11,6786;no;9,7716;no;no;
3-1-8-9-14-;5600;no;yes;13,2914;no;11,7342;no;9,82904;no;no;
4-5-;600;yes;yes;23,1155;yes;21,9713;yes;20,0838;yes;yes;
4-11-14-13-6-;5500;no;yes;16,2932;no;14,7184;no;12,8179;no;no;
4-11-14-9-10-6-;5800;no;yes;16,0985;no;14,577;no;12,6716;no;no;
4-11-12-13-6-;5500;no;yes;16,2932;no;14,7184;no;12,8179;no;no;
4-11-12-9-10-6-;5800;no;yes;16,0985;no;14,577;no;12,6716;no;no;
4-5-7-8-9-14-13-6-;5600;no;yes;16,0499;no;14,606;no;12,704;no;no;
4-5-7-8-9-12-13-6-;5600;no;yes;16,0499;no;14,606;no;12,704;no;no;
4-5-7-8-9-10-6-;4900;no;yes;16,6392;no;15,1986;no;13,2961;no;no;
4-5-6-;1700;yes;yes;21,0729;yes;19,6946;yes;17,7948;yes;no;
4-2-3-6-;3600;no;yes;18,1431;yes;16,6417;no;14,7363;no;no;
4-2-1-3-6-;5700;no;yes;16,2199;no;14,6565;no;12,7521;no;no;
4-11-14-9-8-7-;5100;no;yes;16,5567;no;15,0561;no;13,1536;no;no;
4-11-12-9-8-7-;5100;no;yes;16,5567;no;15,0561;no;13,1536;no;no;
4-5-7-;1400;yes;yes;21,6283;yes;20,2768;yes;18,386;yes;yes;
4-5-6-10-9-8-7-;5200;no;yes;16,4553;no;15,0093;no;13,1043;no;no;
4-2-3-6-5-7-;5500;no;yes;16,287;no;14,7741;no;12,8701;no;no;
4-2-1-8-7-;5600;no;yes;16,3179;no;14,766;no;12,86;no;no;
4-11-14-13-12-9-8-;5000;no;yes;16,5241;no;15,0648;no;13,1643;no;no;
4-11-14-9-8-;4400;no;yes;17,2103;no;15,6992;no;13,7967;no;no;
4-11-12-13-14-9-8-;5000;no;yes;16,5241;no;15,0648;no;13,1643;no;no;
4-11-12-9-8-;4400;no;yes;17,2103;no;15,6992;no;13,7967;no;no;
4-5-7-8-;2100;yes;yes;20,0172;yes;18,6395;yes;16,7448;no;no;
4-5-6-13-14-9-8-;5200;no;yes;16,4431;no;14,9927;no;13,0883;no;no;
4-5-6-13-12-9-8-;5200;no;yes;16,4431;no;14,9927;no;13,0883;no;no;
4-5-6-10-9-8-;4500;no;yes;17,0926;no;15,6449;no;13,7396;no;no;
4-2-3-1-8-;6000;no;yes;16,0462;no;14,4804;no;12,5741;no;no;
4-2-1-8-;4900;no;yes;16,9338;no;15,3645;no;13,4581;no;no;
4-11-14-13-12-9-;4300;yes;yes;14,1621;no;12,6989;no;10,7989;no;no;
4-11-14-9-;3700;yes;yes;14,9696;yes;13,444;no;11,5417;yes;no;
4-11-12-13-14-9-;4300;yes;yes;14,1621;no;12,6989;no;10,7989;no;no;
4-11-12-9-;3700;yes;yes;14,9696;yes;13,444;no;11,5417;yes;no;
4-5-7-8-9-;2800;yes;yes;15,8343;yes;14,443;no;12,5463;yes;yes;
4-5-6-13-14-9-;4500;yes;yes;14,0682;no;12,6154;no;10,7108;no;no;
4-5-6-13-12-9-;4500;yes;yes;14,0682;no;12,6154;no;10,7108;no;no;
4-5-6-10-9-;3800;yes;yes;14,8295;yes;13,3795;no;11,4738;yes;no;
4-2-3-6-10-9-;5700;no;yes;13,1933;no;11,6873;no;9,78002;no;no;
4-2-1-8-9-;5600;no;yes;13,3076;no;11,7557;no;9,84974;no;no;
4-11-14-13-12-9-10-;5200;no;yes;13,4266;no;11,9739;no;10,0698;no;no;
4-11-14-9-10-;4600;yes;yes;14,098;no;12,5958;no;10,6891;no;no;
4-11-12-13-14-9-10-;5200;no;yes;13,4266;no;11,9739;no;10,0698;no;no;
4-11-12-9-10-;4600;yes;yes;14,098;no;12,5958;no;10,6891;no;no;
4-5-7-8-9-10-;3700;yes;yes;14,7921;yes;13,3999;no;11,4968;yes;no;
4-5-6-13-14-9-10-;5400;no;yes;13,3472;no;11,9032;no;9,99519;no;no;
4-5-6-13-12-9-10-;5400;no;yes;13,3472;no;11,9032;no;9,99519;no;no;
4-5-6-10-;2900;yes;yes;15,882;yes;14,417;no;12,517;yes;yes;
4-2-3-6-10-;4800;yes;yes;13,8871;no;12,3623;no;10,4582;no;no;
4-11-;2400;yes;yes;19,9188;yes;18,3242;yes;16,4239;no;no;
4-5-7-8-9-14-13-12-11-;4700;no;yes;16,5689;no;15,2108;no;13,3129;no;no;
4-5-7-8-9-14-11-;4100;no;yes;17,2627;no;15,8686;no;13,9691;no;no;
4-5-7-8-9-12-13-14-11-;4700;no;yes;16,5689;no;15,2108;no;13,3129;no;no;
4-5-7-8-9-12-11-;4100;no;yes;17,2627;no;15,8686;no;13,9691;no;no;
4-5-6-13-14-11-;4800;no;yes;16,7569;no;15,2636;no;13,3632;no;no;
4-5-6-13-12-11-;4800;no;yes;16,7569;no;15,2636;no;13,3632;no;no;
4-5-6-10-9-14-11-;5100;no;yes;16,5408;no;15,1035;no;13,1977;no;no;
4-5-6-10-9-12-11-;5100;no;yes;16,5408;no;15,1035;no;13,1977;no;no;
4-11-14-13-12-;3800;yes;yes;14,6694;yes;13,1711;no;11,2745;yes;no;
4-11-14-9-12-;4200;yes;yes;14,4282;no;12,9429;no;11,0376;no;no;
4-11-12-;3200;yes;yes;15,5882;yes;14,0106;no;12,112;yes;no;
4-5-7-8-9-14-13-12-;3900;yes;yes;14,338;yes;13,0144;no;11,1156;yes;no;
4-5-7-8-9-14-11-12-;4900;yes;yes;13,487;no;12,0707;no;10,1721;no;no;
4-5-7-8-9-12-;3300;yes;yes;15,1823;yes;13,8211;no;11,9201;yes;no;
4-5-6-13-14-11-12-;5600;no;yes;13,059;no;11,5603;no;9,66094;no;no;
4-5-6-13-14-9-12-;5000;yes;yes;13,6233;no;12,1973;no;10,2904;no;no;
4-5-6-13-12-;4000;yes;yes;14,564;yes;13,0782;no;11,1763;yes;no;
4-5-6-10-9-14-13-12-;4900;yes;yes;13,6028;no;12,2237;no;10,3184;no;no;
4-5-6-10-9-12-;4300;yes;yes;14,3044;no;12,8853;no;10,9771;no;no;
4-2-3-6-13-12-;5900;no;yes;13,0094;no;11,481;no;9,5764;no;no;
4-11-14-13-;3500;yes;yes;15,1045;yes;13,5706;no;11,6731;yes;no;
4-11-14-9-12-13-;4500;yes;yes;14,0532;no;12,5951;no;10,6912;no;no;
4-11-12-13-;3500;yes;yes;15,1045;yes;13,5706;no;11,6731;yes;no;
4-11-12-9-14-13-;4500;yes;yes;14,0532;no;12,5951;no;10,6912;no;no;
4-5-7-8-9-14-13-;3600;yes;yes;14,7396;yes;13,399;no;11,4993;yes;no;
4-5-7-8-9-14-11-12-13-;5200;no;yes;13,1825;no;11,7841;no;9,88626;no;no;
4-5-7-8-9-12-13-;3600;yes;yes;14,7396;yes;13,399;no;11,4993;yes;no;
4-5-7-8-9-12-11-14-13-;5200;no;yes;13,1825;no;11,7841;no;9,88626;no;no;
4-5-6-13-;3700;yes;yes;14,9882;yes;13,4688;no;11,5656;yes;no;
4-5-6-10-9-14-13-;4600;yes;yes;13,9394;no;12,5419;no;10,6353;no;no;
4-5-6-10-9-12-13-;4600;yes;yes;13,9394;no;12,5419;no;10,6353;no;no;
4-2-3-6-13-;5600;no;yes;13,3015;no;11,7476;no;9,84196;no;no;
4-11-14-;3200;yes;yes;15,5882;yes;14,0106;no;12,112;yes;no;
4-11-12-13-14-;3800;yes;yes;14,6694;yes;13,1711;no;11,2745;yes;no;
4-11-12-9-14-;4200;yes;yes;14,4282;no;12,9429;no;11,0376;no;no;
4-5-7-8-9-14-;3300;yes;yes;15,1823;yes;13,8211;no;11,9201;yes;no;
